qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.55,0.2801,1.3976,18.7839,0.2809,303.5486,10.6479
0.55,0.285,9.4713,17.8766,0.286,302.8766,8.6513
0.55,0.2901,9.2872,16.5156,0.2914,312.4084,10.6479
0.55,0.295,6.3809,19.782,0.2961,329.0395,10.426
0.55,0.2996,19.6271,19.1472,0.3012,325.4838,10.426
0.55,0.3047,23.8894,18.512,0.3055,330.1367,9.7607
0.55,0.31,13.6326,21.8696,0.3106,342.3308,11.3135
0.55,0.3143,39.8554,23.5026,0.3155,366.7256,12.644
0.55,0.3193,25.1523,24.9546,0.3206,382.4689,11.5355
0.55,0.3247,2.4634,27.0418,0.3257,393.5539,14.197
0.55,0.3295,-11.6044,28.9471,0.3308,415.5083,14.1971
0.55,0.3346,-16.8702,30.6715,0.3353,433.2489,12.201
0.55,0.34,11.3484,32.033,0.3402,446.3305,14.8622
0.55,0.3447,3.905,33.1218,0.345,444.328,13.7536
