Z,A,E0,ThetaDeg,nu,cross,error,dataSet
79,197,3.595,30.01,1.995,2125,71.99,Day:1993md
79,197,3.595,30.01,2.01,2145,72.38,Day:1993md
79,197,3.595,30.01,2.025,2203,74.99,Day:1993md
79,197,3.605,16.02,0.06,12.63,1.355,Day:1993md
79,197,3.605,16.02,0.075,26.01,2.005,Day:1993md
79,197,3.605,16.02,0.09,61.33,2.964,Day:1993md
79,197,3.605,16.02,0.105,107.7,3.818,Day:1993md
79,197,3.605,16.02,0.12,169.2,4.903,Day:1993md
79,197,3.605,16.02,0.135,268.6,6.266,Day:1993md
79,197,3.605,16.02,0.15,388.9,7.281,Day:1993md
79,197,3.605,16.02,0.165,537.6,8.555,Day:1993md
79,197,3.605,16.02,0.18,738.1,10.63,Day:1993md
79,197,3.605,16.02,0.195,1010,12.63,Day:1993md
79,197,4.045,15,1.11,42680,682.9,Arrington:1998ps
79,197,4.045,15,1.095,41560,656.6,Arrington:1998ps
79,197,4.045,15,1.08,42910,660.8,Arrington:1998ps
79,197,4.045,15,1.065,40770,631.9,Arrington:1998ps
79,197,4.045,15,1.05,40470,615.1,Arrington:1998ps
79,197,4.045,15,1.035,41310,615.5,Arrington:1998ps
79,197,4.045,15,1.02,42220,616.4,Arrington:1998ps
79,197,4.045,15,1.005,40990,602.6,Arrington:1998ps
79,197,4.045,15,0.99,40740,594.8,Arrington:1998ps
79,197,4.045,15,0.975,40650,589.4,Arrington:1998ps
79,197,4.045,15,0.96,40860,588.4,Arrington:1998ps
79,197,4.045,15,0.945,38210,565.5,Arrington:1998ps
79,197,4.045,15,0.93,39300,573.8,Arrington:1998ps
79,197,4.045,15,0.915,39370,578.7,Arrington:1998ps
79,197,4.045,15,0.9,41390,600.2,Arrington:1998ps
79,197,4.045,15,0.885,39480,588.3,Arrington:1998ps
79,197,4.045,15,0.87,39350,594.2,Arrington:1998ps
79,197,4.045,15,0.855,40980,610.6,Arrington:1998ps
79,197,4.045,15,0.84,40230,607.5,Arrington:1998ps
79,197,4.045,15,0.825,40650,613.8,Arrington:1998ps
79,197,4.045,15,0.81,38820,601.7,Arrington:1998ps
79,197,4.045,15,0.795,39080,609.6,Arrington:1998ps
79,197,4.045,15,0.78,40120,621.9,Arrington:1998ps
79,197,4.045,15,0.765,38220,607.7,Arrington:1998ps
79,197,4.045,15,0.75,39510,624.3,Arrington:1998ps
79,197,4.045,15,0.735,39510,628.2,Arrington:1998ps
