Z,A,E0,ThetaDeg,nu,cross,error,dataSet,x,statistical_error,systematic_error
79,197,4.045,15,0.075,10.33,3.185,Arrington:1998ps,,,
79,197,4.045,15,0.06,0.7436,0.9107,Arrington:1998ps,,,
79,197,4.045,15,0.045,2.191,1.162,Arrington:1998ps,,,
79,197,4.045,15,0.03,0.3793,0.4645,Arrington:1998ps,,,
79,197,4.045,23,1.53,3038,28.56,Arrington:1998ps,,,
79,197,4.045,23,1.515,2962,27.25,Arrington:1998ps,,,
79,197,4.045,23,1.5,2927,26.64,Arrington:1998ps,,,
79,197,4.045,23,1.485,2888,25.99,Arrington:1998ps,,,
79,197,4.045,23,1.47,2753,24.78,Arrington:1998ps,,,
79,197,4.045,23,1.455,2741,24.39,Arrington:1998ps,,,
79,197,4.045,23,1.44,2646,23.81,Arrington:1998ps,,,
79,197,4.045,23,1.425,2603,23.43,Arrington:1998ps,,,
79,197,4.045,23,1.41,2539,23.1,Arrington:1998ps,,,
79,197,4.045,23,1.395,2522,22.95,Arrington:1998ps,,,
79,197,4.045,23,1.38,2418,22.49,Arrington:1998ps,,,
79,197,4.045,23,1.365,2389,22.46,Arrington:1998ps,,,
79,197,4.045,23,1.35,2285,21.94,Arrington:1998ps,,,
79,197,4.045,23,1.335,2218,21.74,Arrington:1998ps,,,
79,197,4.045,23,1.32,2151,21.29,Arrington:1998ps,,,
79,197,4.045,23,1.305,2085,21.06,Arrington:1998ps,,,
79,197,4.045,23,1.29,1942,20.39,Arrington:1998ps,,,
79,197,4.045,23,1.275,1896,20.1,Arrington:1998ps,,,
79,197,4.045,23,1.26,1838,19.85,Arrington:1998ps,,,
79,197,4.045,23,1.245,1795,19.75,Arrington:1998ps,,,
79,197,4.045,23,1.23,1706,19.28,Arrington:1998ps,,,
79,197,4.045,23,1.215,1680,19.32,Arrington:1998ps,,,
79,197,4.045,23,1.2,1645,19.25,Arrington:1998ps,,,
79,197,4.045,23,1.185,1589,19.07,Arrington:1998ps,,,
79,197,4.045,23,1.17,1538,18.92,Arrington:1998ps,,,
79,197,4.045,23,1.155,1467,18.63,Arrington:1998ps,,,
79,197,4.045,23,1.14,1419,18.45,Arrington:1998ps,,,
79,197,4.045,23,1.125,1339,18.08,Arrington:1998ps,,,
79,197,4.045,23,1.11,1279,10.62,Arrington:1998ps,,,
79,197,4.045,23,1.095,1204,10.23,Arrington:1998ps,,,
79,197,4.045,23,1.08,1121,9.753,Arrington:1998ps,,,
79,197,4.045,23,1.065,1104,9.715,Arrington:1998ps,,,
79,197,4.045,23,1.05,1033,9.4,Arrington:1998ps,,,
79,197,4.045,23,1.035,975,9.165,Arrington:1998ps,,,
79,197,4.045,23,1.02,945.1,9.073,Arrington:1998ps,,,
79,197,4.045,23,1.005,886.8,8.957,Arrington:1998ps,,,
79,197,4.045,23,0.99,833.9,8.839,Arrington:1998ps,,,
79,197,4.045,23,0.975,777.3,8.706,Arrington:1998ps,,,
79,197,4.045,23,0.96,701.5,9.33,Arrington:1998ps,,,
79,197,4.045,23,0.945,673.2,9.223,Arrington:1998ps,,,
79,197,4.045,23,0.93,616.1,8.872,Arrington:1998ps,,,
79,197,4.045,23,0.915,554.7,8.542,Arrington:1998ps,,,
79,197,4.045,23,0.9,497.5,8.159,Arrington:1998ps,,,
79,197,4.045,23,0.885,429.8,7.607,Arrington:1998ps,,,
79,197,4.045,23,0.87,405.3,7.498,Arrington:1998ps,,,
79,197,4.045,23,0.855,344.9,6.932,Arrington:1998ps,,,
79,197,4.045,23,0.84,282.1,6.319,Arrington:1998ps,,,
79,197,4.045,23,0.825,249.1,5.953,Arrington:1998ps,,,
79,197,4.045,23,0.81,221.2,5.574,Arrington:1998ps,,,
79,197,4.045,23,0.795,167.7,4.696,Arrington:1998ps,,,
79,197,4.045,23,0.78,143.8,4.472,Arrington:1998ps,,,
79,197,4.045,23,0.765,124.2,1.664,Arrington:1998ps,,,
79,197,4.045,23,0.75,104.9,1.5,Arrington:1998ps,,,
79,197,4.045,23,0.735,88.09,1.348,Arrington:1998ps,,,
79,197,4.045,23,0.72,72.53,1.211,Arrington:1998ps,,,
79,197,4.045,23,0.705,60.39,1.087,Arrington:1998ps,,,
79,197,4.045,23,0.69,50.12,0.9773,Arrington:1998ps,,,
79,197,4.045,23,0.675,40.57,0.8723,Arrington:1998ps,,,
79,197,4.045,23,0.66,35.06,0.8099,Arrington:1998ps,,,
79,197,4.045,23,0.645,29,0.7366,Arrington:1998ps,,,
79,197,4.045,23,0.63,23.4,0.6599,Arrington:1998ps,,,
79,197,4.045,23,0.615,19.74,0.61,Arrington:1998ps,,,
79,197,4.045,23,0.6,16.66,0.5614,Arrington:1998ps,,,
79,197,4.045,23,0.585,12.99,0.4975,Arrington:1998ps,,,
79,197,4.045,23,0.57,10.63,0.4528,Arrington:1998ps,,,
79,197,4.045,23,0.555,9.129,0.4218,Arrington:1998ps,,,
79,197,4.045,23,0.54,6.963,0.3725,Arrington:1998ps,,,
79,197,4.045,23,0.525,5.339,0.3273,Arrington:1998ps,,,
79,197,4.045,23,0.51,4.149,0.2921,Arrington:1998ps,,,
79,197,4.045,23,0.495,3.122,0.2557,Arrington:1998ps,,,
79,197,4.045,23,0.48,2.796,0.2444,Arrington:1998ps,,,
79,197,4.045,23,0.465,2.068,0.2211,Arrington:1998ps,,,
79,197,4.045,23,0.45,1.706,0.2016,Arrington:1998ps,,,
79,197,4.045,23,0.435,1.055,0.1599,Arrington:1998ps,,,
79,197,4.045,23,0.42,0.9389,0.1513,Arrington:1998ps,,,
79,197,4.045,23,0.405,0.7532,0.1364,Arrington:1998ps,,,
79,197,4.045,23,0.39,0.5362,0.1156,Arrington:1998ps,,,
79,197,4.045,23,0.375,0.3174,0.0897,Arrington:1998ps,,,
79,197,4.045,23,0.36,0.1706,0.06676,Arrington:1998ps,,,
79,197,4.045,23,0.345,0.1462,0.06212,Arrington:1998ps,,,
79,197,4.045,23,0.33,0.04854,0.03837,Arrington:1998ps,,,
79,197,4.045,23,0.315,0.09654,0.0512,Arrington:1998ps,,,
79,197,4.045,23,0.3,0.04818,0.03809,Arrington:1998ps,,,
79,197,4.045,23,0.285,0.02392,0.0293,Arrington:1998ps,,,
79,197,4.045,30,2.16,1135,9.647,Arrington:1998ps,,,
79,197,4.045,30,2.145,1107,9.188,Arrington:1998ps,,,
79,197,4.045,30,2.13,1059,8.79,Arrington:1998ps,,,
79,197,4.045,30,2.115,1040,8.528,Arrington:1998ps,,,
79,197,4.045,30,2.1,989.8,8.116,Arrington:1998ps,,,
79,197,4.045,30,2.085,967.7,7.935,Arrington:1998ps,,,
79,197,4.045,30,2.07,919.8,7.726,Arrington:1998ps,,,
79,197,4.045,30,2.055,884.1,7.515,Arrington:1998ps,,,
79,197,4.045,30,2.04,878.1,7.552,Arrington:1998ps,,,
79,197,4.045,30,2.025,853.1,7.422,Arrington:1998ps,,,
79,197,4.045,30,2.01,822.9,7.324,Arrington:1998ps,,,
79,197,4.045,30,1.995,779.4,7.17,Arrington:1998ps,,,
79,197,4.045,30,1.98,754.5,7.017,Arrington:1998ps,,,
79,197,4.045,30,1.965,734.1,6.974,Arrington:1998ps,,,
79,197,4.045,30,1.95,721.6,7,Arrington:1998ps,,,
79,197,4.045,30,1.935,672.8,6.728,Arrington:1998ps,,,
79,197,4.045,30,1.92,655.2,6.683,Arrington:1998ps,,,
79,197,4.045,30,1.905,617.5,6.546,Arrington:1998ps,,,
79,197,4.045,30,1.89,597.7,4.423,Arrington:1998ps,,,
79,197,4.045,30,1.875,568.3,4.262,Arrington:1998ps,,,
79,197,4.045,30,1.86,547.8,4.163,Arrington:1998ps,,,
79,197,4.045,30,1.845,525,4.043,Arrington:1998ps,,,
79,197,4.045,30,1.83,490.3,3.873,Arrington:1998ps,,,
79,197,4.045,30,1.815,478.1,3.873,Arrington:1998ps,,,
79,197,4.045,30,1.8,455.9,3.83,Arrington:1998ps,,,
79,197,4.045,30,1.785,430.6,3.746,Arrington:1998ps,,,
79,197,4.045,30,1.77,406.7,3.742,Arrington:1998ps,,,
79,197,4.045,30,1.755,383.3,3.68,Arrington:1998ps,,,
79,197,4.045,30,1.74,364.6,4.229,Arrington:1998ps,,,
79,197,4.045,30,1.725,351.7,4.185,Arrington:1998ps,,,
79,197,4.045,30,1.71,343.3,4.12,Arrington:1998ps,,,
79,197,4.045,30,1.695,318.4,3.98,Arrington:1998ps,,,
79,197,4.045,30,1.68,302.9,3.907,Arrington:1998ps,,,
79,197,4.045,30,1.665,283.5,3.771,Arrington:1998ps,,,
79,197,4.045,30,1.65,267.6,3.693,Arrington:1998ps,,,
79,197,4.045,30,1.635,245.7,3.538,Arrington:1998ps,,,
79,197,4.045,30,1.62,244.4,3.544,Arrington:1998ps,,,
79,197,4.045,30,1.605,229.3,3.462,Arrington:1998ps,,,
79,197,4.045,30,1.59,214.2,3.363,Arrington:1998ps,,,
79,197,4.045,30,1.575,202.8,3.306,Arrington:1998ps,,,
79,197,4.045,30,1.56,190.3,3.216,Arrington:1998ps,,,
79,197,4.045,30,1.545,173.5,3.088,Arrington:1998ps,,,
79,197,4.045,30,1.53,165.8,1.99,Arrington:1998ps,,,
79,197,4.045,30,1.515,154,1.894,Arrington:1998ps,,,
79,197,4.045,30,1.5,145.6,1.835,Arrington:1998ps,,,
79,197,4.045,30,1.485,133.7,1.765,Arrington:1998ps,,,
79,197,4.045,30,1.47,125.6,1.733,Arrington:1998ps,,,
79,197,4.045,30,1.455,116.5,1.678,Arrington:1998ps,,,
79,197,4.045,30,1.44,109.8,1.658,Arrington:1998ps,,,
79,197,4.045,30,1.425,100.1,1.602,Arrington:1998ps,,,
79,197,4.045,30,1.41,92.81,1.801,Arrington:1998ps,,,
79,197,4.045,30,1.395,83.54,1.713,Arrington:1998ps,,,
79,197,4.045,30,1.38,75.61,1.633,Arrington:1998ps,,,
79,197,4.045,30,1.365,66.4,1.547,Arrington:1998ps,,,
79,197,4.045,30,1.35,61.01,1.495,Arrington:1998ps,,,
79,197,4.045,30,1.335,57.72,1.46,Arrington:1998ps,,,
79,197,4.045,30,1.32,48.2,1.35,Arrington:1998ps,,,
79,197,4.045,30,1.305,45.49,1.319,Arrington:1998ps,,,
79,197,4.045,30,1.29,37.63,1.212,Arrington:1998ps,,,
79,197,4.045,30,1.275,32.76,0.9009,Arrington:1998ps,,,
79,197,4.045,30,1.26,28.31,0.8323,Arrington:1998ps,,,
79,197,4.045,30,1.245,25.5,0.7905,Arrington:1998ps,,,
79,197,4.045,30,1.23,21.01,0.7101,Arrington:1998ps,,,
79,197,4.045,30,1.215,16.07,0.5994,Arrington:1998ps,,,
79,197,4.045,30,1.2,14.36,0.5758,Arrington:1998ps,,,
79,197,4.045,30,1.185,12.82,0.5461,Arrington:1998ps,,,
79,197,4.045,30,1.17,10.55,0.4959,Arrington:1998ps,,,
79,197,4.045,30,1.155,8.356,0.4429,Arrington:1998ps,,,
79,197,4.045,30,1.14,7.91,0.4319,Arrington:1998ps,,,
79,197,4.045,30,1.125,5.695,0.3685,Arrington:1998ps,,,
79,197,4.045,30,1.11,5.756,0.3713,Arrington:1998ps,,,
79,197,4.045,30,1.095,4.025,0.3123,Arrington:1998ps,,,
79,197,4.045,30,1.08,3.025,0.2716,Arrington:1998ps,,,
79,197,4.045,30,1.065,2.716,0.2591,Arrington:1998ps,,,
79,197,4.045,30,1.05,2.167,0.2336,Arrington:1998ps,,,
79,197,4.045,30,1.035,2.258,0.2421,Arrington:1998ps,,,
79,197,4.045,30,1.02,1.651,0.2113,Arrington:1998ps,,,
79,197,4.045,30,1.005,1.42,0.2006,Arrington:1998ps,,,
79,197,4.045,30,0.99,1.377,0.203,Arrington:1998ps,,,
79,197,4.045,30,0.975,1.089,0.1865,Arrington:1998ps,,,
79,197,4.045,30,0.96,1.019,0.2435,Arrington:1998ps,,,
79,197,4.045,30,0.945,0.963,0.237,Arrington:1998ps,,,
79,197,4.045,30,0.93,0.2297,0.1218,Arrington:1998ps,,,
