Q2_0.01_x,Q2_0.01_RL_1b,Q2_0.01_RT_1b,Q2_0.01_RL_1b2b,Q2_0.01_RT_1b2b,,Q2_0.02_x,Q2_0.02_RL_1b,Q2_0.02_RT_1b,Q2_0.02_RL_1b2b,Q2_0.02_RT_1b2b,,Q2_0.026_x,Q2_0.026_RL_1b,Q2_0.026_RT_1b,Q2_0.026_RL_1b2b,Q2_0.026_RT_1b2b,,Q2_0.04_x,Q2_0.04_RL_1b,Q2_0.04_RT_1b,Q2_0.04_RL_1b2b,Q2_0.04_RT_1b2b,,Q2_0.056_x,Q2_0.056_RL_1b,Q2_0.056_RT_1b,Q2_0.056_RL_1b2b,Q2_0.056_RT_1b2b,,Q2_0.093_x,Q2_0.093_RL_1b,Q2_0.093_RT_1b,Q2_0.093_RL_1b2b,Q2_0.093_RT_1b2b,,Q2_0.12_x,Q2_0.12_RL_1b,Q2_0.12_RT_1b,Q2_0.12_RL_1b2b,Q2_0.12_RT_1b2b,,Q2_0.16_x,Q2_0.16_RL_1b,Q2_0.16_RT_1b,Q2_0.16_RL_1b2b,Q2_0.16_RT_1b2b,,Q2_0.265_x,Q2_0.265_RL_1b,Q2_0.265_RT_1b,Q2_0.265_RL_1b2b,Q2_0.265_RT_1b2b,,Q2_0.38_x,Q2_0.38_RL_1b,Q2_0.38_RT_1b,Q2_0.38_RL_1b2b,Q2_0.38_RT_1b2b
30,0.0883932,0.0144628,0.0884837,0.0186232,,30,0.144556,0.0238705,0.144169,0.0309607,,30,0.149499,0.0277573,0.148965,0.035852,,30,0.122602,0.0317897,0.122036,0.0406436,,30,0.0869925,0.0323955,0.0864655,0.0411581,,30,0.0415829,0.0272272,0.0411548,0.0342699,,30,0.0244733,0.0213056,0.0241529,0.0266614,,30,0.0118376,0.0143253,0.0116547,0.0177894,,30,0.00109418,0.00231947,0.00107158,0.00279639,,30,2.71E-06,1.10E-05,2.58E-06,1.25E-05
31,0.0861462,0.0142588,0.086254,0.0183185,,31,0.144061,0.0240993,0.143682,0.0312647,,31,0.150618,0.0282716,0.150081,0.0365452,,31,0.125292,0.0326649,0.124715,0.0418071,,31,0.0889429,0.0332352,0.0884219,0.0422691,,31,0.0420508,0.0278191,0.0416383,0.0350647,,31,0.0246087,0.0217862,0.0243032,0.0273031,,31,0.012014,0.0147942,0.0118357,0.0183961,,31,0.00114429,0.00251281,0.00112131,0.00303667,,31,3.44E-06,1.47E-05,3.27E-06,1.67E-05
32,0.0830311,0.0141215,0.0831471,0.0181149,,32,0.141804,0.024374,0.141428,0.0316203,,32,0.149934,0.0288135,0.149388,0.0372623,,32,0.126871,0.03357,0.126274,0.042999,,32,0.0905772,0.0341484,0.0900468,0.0434656,,32,0.0427875,0.0285806,0.042373,0.0360668,,32,0.0250148,0.0224146,0.0247104,0.0281247,,32,0.0122959,0.015291,0.012117,0.0190333,,32,0.00120251,0.00271243,0.0011788,0.00328451,,32,4.22E-06,1.91E-05,4.03E-06,2.16E-05
33,0.0792442,0.0139618,0.0793645,0.0178871,,33,0.138202,0.0245979,0.137827,0.0319037,,33,0.147846,0.0293019,0.147291,0.0379017,,33,0.127536,0.0344568,0.126914,0.0441605,,33,0.0918942,0.0350896,0.0913442,0.0446914,,33,0.0437244,0.0294683,0.0432949,0.0372232,,33,0.0256436,0.0231642,0.0253296,0.0290949,,33,0.0126541,0.0158107,0.0124705,0.0196967,,33,0.00127204,0.00291965,0.00124719,0.00354114,,33,5.16E-06,2.43E-05,4.93E-06,2.75E-05
34,0.0751221,0.013828,0.0752424,0.0176977,,34,0.133752,0.0248035,0.133379,0.0321544,,34,0.144825,0.0297519,0.144261,0.0384811,,34,0.127519,0.0352941,0.126871,0.0452523,,34,0.0928821,0.0360063,0.0923082,0.0458814,,34,0.0447433,0.0304118,0.0442916,0.038447,,34,0.0264078,0.023992,0.0260773,0.0301614,,34,0.0130569,0.0163497,0.0128656,0.0203834,,34,0.00135184,0.0031317,0.00132549,0.00380315,,34,6.55E-06,3.11E-05,6.29E-06,3.52E-05
35,0.070871,0.0137036,0.0709891,0.0175214,,35,0.128884,0.0249974,0.128512,0.0323802,,35,0.141307,0.0301839,0.140735,0.0390252,,35,0.127174,0.0361516,0.126496,0.0463602,,35,0.0937557,0.0369619,0.0931514,0.0471148,,35,0.0458713,0.0314288,0.0453911,0.0397604,,35,0.0272763,0.0248865,0.0269245,0.0313101,,35,0.013475,0.0168983,0.0132746,0.0210821,,35,0.00143913,0.00334559,0.00141103,0.00406697,,35,8.42E-06,3.98E-05,8.11E-06,4.51E-05
36,0.0665943,0.0135116,0.0667121,0.0172531,,36,0.123764,0.0250715,0.123398,0.032443,,36,0.137433,0.0304951,0.136858,0.0394043,,36,0.126521,0.0369271,0.125817,0.0473555,,36,0.0944946,0.0378911,0.0938587,0.0483098,,36,0.0471226,0.0325198,0.0466091,0.0411641,,36,0.0282506,0.0258479,0.0278734,0.032541,,36,0.0139341,0.0174908,0.0137225,0.0218354,,36,0.0015307,0.00355921,0.00150071,0.00433016,,36,1.08E-05,5.04E-05,1.04E-05,5.71E-05
37,0.0624143,0.0132545,0.0625347,0.0168962,,37,0.118583,0.0250199,0.11823,0.0323362,,37,0.133376,0.0306691,0.132806,0.0395982,,37,0.125649,0.037592,0.124923,0.0482024,,37,0.0951055,0.0387479,0.0944406,0.0494083,,37,0.0483811,0.0336009,0.0478347,0.0425527,,37,0.0292806,0.0268466,0.0288766,0.0338179,,37,0.0144095,0.0181061,0.0141857,0.0226169,,37,0.00162492,0.00377435,0.00159297,0.004595,,37,1.36E-05,6.26E-05,1.32E-05,7.12E-05
38,0.0583756,0.0129367,0.0585017,0.0164574,,38,0.113421,0.0248396,0.113086,0.0320576,,38,0.129213,0.0306968,0.128656,0.0395966,,38,0.124609,0.0381299,0.12387,0.0488807,,38,0.095646,0.0395255,0.0949555,0.050402,,38,0.0496216,0.034643,0.0490444,0.0438892,,38,0.0303159,0.0278389,0.0298862,0.035086,,38,0.0148913,0.0187339,0.0146556,0.0234145,,38,0.00172007,0.00399008,0.00168612,0.00486037,,38,1.68E-05,7.63E-05,1.63E-05,8.70E-05
39,0.0546441,0.0125718,0.0547794,0.0159545,,39,0.108462,0.0245408,0.108155,0.031621,,39,0.12511,0.0305838,0.124574,0.0394076,,39,0.12348,0.0385373,0.122736,0.0493865,,39,0.0961499,0.040218,0.0954385,0.0512841,,39,0.0508654,0.0356448,0.0502601,0.0451716,,39,0.0313469,0.028807,0.0308936,0.0363228,,39,0.0153848,0.0193723,0.0151373,0.0242252,,39,0.001817,0.00421044,0.00178105,0.0051314,,39,2.04E-05,9.18E-05,1.99E-05,1.05E-04
