Z,A,E0,ThetaDeg,dataSet,N points,fit,SuSAV2,normalization,system_err
26,56,0.1737,180,Hotta:1984,14,1.0043,1.0536,1.0536,0.05
26,56,0.1922,180,Hotta:1984,15,0.9771,0.9103,0.9103,0.05
26,56,0.2065,180,Hotta:1984,13,0.9901,,0.9901,0.05
26,56,0.2211,180,Hotta:1984,17,0.976,,0.976,0.05
26,56,0.2356,180,Hotta:1984,18,0.9695,,0.9695,0.05
26,56,0.2519,180,Hotta:1984,20,0.99,,0.99,0.05
26,56,0.2712,180,Hotta:1984,21,0.9639,,0.9639,0.05
26,56,0.2928,180,Hotta:1984,23,0.9057,,0.9057,0.05
26,56,0.3122,180,Hotta:1984,24,0.9715,,0.9715,0.05
26,56,0.3331,180,Hotta:1984,26,0.8669,,0.8669,0.05
26,56,0.5553,180,Hotta:1984,26,0.9221,,0.9221,0.05
26,56,2.015,35.51,Arrington:1995hs,14,0.9556,,0.9556,0.035
26,56,3.188,47.68,Arrington:1995hs,14,0.9556,,0.9556,0.035
26,56,4.212,53.39,Arrington:1995hs,14,0.9556,,0.9556,0.035
26,56,5.12,56.64,Arrington:1995hs,14,0.9556,,0.9556,0.035
26,56,4.045,15,Arrington:1998ps,72,0.9642,,0.9642,0.035
26,56,4.045,23,Arrington:1998ps,87,0.9642,,0.9642,0.035
26,56,4.045,30,Arrington:1998ps,105,0.9642,,0.9642,0.035
26,56,4.045,37,Arrington:1998ps,52,0.9642,,0.9642,0.035
26,56,4.045,45,Arrington:1998ps,41,0.9642,,0.9642,0.035
26,56,4.045,55,Arrington:1998ps,61,0.9642,,0.9642,0.035
26,56,4.045,74,Arrington:1998ps,39,0.9642,,0.9642,0.035
26,56,1.5,11.939,Baran:1988tw,43,0.997,,0.997,0.035
26,56,1.65,11.939,Baran:1988tw,58,0.997,,0.997,0.035
26,56,1.5,13.539,Baran:1988tw,40,0.997,,0.997,0.035
26,56,1.65,13.539,Baran:1988tw,58,0.997,,0.997,0.035
26,56,2.7,15,Chen:1990kq,60,0.8399,0.8633,0.8633,0.1
26,56,3.3,15,Chen:1990kq,60,1.0317,,1.0317,0.1
26,56,3.6,15,Chen:1990kq,48,0.9892,,0.9892,0.1
26,56,3.9,15,Chen:1990kq,48,0.9772,,0.9772,0.1
26,56,4.3,15,Chen:1990kq,48,1.0013,,1.0013,0.1
26,56,0.9,85,Chen:1990kq,15,0.9642,0.8334,0.8334,0.1
26,56,1.1,85,Chen:1990kq,12,1.0002,0.8947,0.8947,0.1
26,56,1.25,85,Chen:1990kq,4,0.8442,,0.8442,0.1
26,56,2.02,15.022,Day:1993md,21,1.0271,,1.0271,0.035
26,56,3.595,16.02,Day:1993md,90,1.0271,,1.0271,0.035
26,56,3.605,16.02,Day:1993md,10,1.0271,,1.0271,0.035
26,56,2.02,20.016,Day:1993md,27,1.0271,,1.0271,0.035
26,56,3.595,20.016,Day:1993md,51,1.0271,,1.0271,0.035
26,56,3.595,25.012,Day:1993md,54,1.0271,,1.0271,0.035
26,56,3.595,30.01,Day:1993md,94,1.0271,,1.0271,0.035
26,56,3.995,30.05,Day:1993md,95,1.0271,,1.0271,0.035
26,56,3.595,39.007,Day:1993md,39,1.0271,,1.0271,0.035
26,56,0.961,37.5,Sealock:1989nx,60,1.0256,,1.0256,0.035
26,56,1.108,37.5,Sealock:1989nx,62,1.0093,0.9914,0.9914,0.035
26,56,1.299,37.5,Sealock:1989nx,64,1.0223,0.9178,0.9178,0.035
26,56,,,Meziani:1984is,,1.019,,1.019,0.037-0.053
26,56,,,E04001,,1.01,,1.01,0.03
