RLc/RTc,W2,Q2,RL/RT,RLerr/RTerr,err_th,err_rad,nu
RLc,2.53,3.25,0.0437753,0.012194,0.00373286,0.000248858,2.610990499
RLc,2.61,3.25,0.0362787,0.01435,0.00387839,0.000258559,2.653622015
RLc,2.69,3.25,0.0501567,0.0158436,0.00402803,0.000268535,2.69625353
RLc,2.77,3.25,0.0386123,0.0156122,0.00418184,0.000278789,2.738885046
RLc,2.85,3.25,0.0527913,0.0195295,0.00433989,0.000289326,2.781516562
RLc,2.93,3.25,0.0519293,0.0202602,0.00450226,0.00030015,2.824148077
RLc,3.01,3.25,0.0563298,0.0210105,0.00466899,0.000311266,2.866779593
RLc,3.09,3.25,0.0676333,0.0225874,0.00484017,0.000322678,2.909411108
RLc,3.17,3.25,0.105742,0.0229057,0.00501585,0.00033439,2.952042624
RLc,3.25,3.25,0.101524,0.0244217,0.0051961,0.000346406,2.994674139
RLc,3.33,3.25,0.0811883,0.0249319,0.00538099,0.000358732,3.037305655
RLc,3.41,3.25,0.0847798,0.0252533,0.00557058,0.000371372,3.07993717
RLc,3.49,3.25,0.0966588,0.0261344,0.00576494,0.000384329,3.122568686
RLc,3.57,3.25,0.117162,0.0286279,0.00596414,0.000397609,3.165200202
RLc,3.65,3.25,0.125167,0.0312524,0.00616824,0.000411216,3.207831717
RLc,3.73,3.25,0.180617,0.03465,0.00637731,0.000425154,3.250463233
RLc,3.81,3.25,0.159553,0.0380104,0.00659141,0.000439427,3.293094748
RLc,3.89,3.25,0.0939918,0.0376854,0.00681061,0.00045404,3.335726264
RLc,3.97,3.25,0.153256,0.0403338,0.00703497,0.000468998,3.378357779
RLc,4.05,3.25,0.130806,0.0431031,0.00726457,0.000484305,3.420989295
RLc,4.13,3.25,0.140017,0.0509964,0.00749947,0.000499964,3.463620811
RLc,0.93,3.75,0.00510996,0.00175192,0.00169541,0.000113027,2.02480716
RLc,1.01,3.75,0.00289031,0.00176958,0.00176958,0.000117972,2.067438676
RLc,1.09,3.75,0.00455383,0.00184615,0.00184615,0.000123077,2.110070191
RLc,1.17,3.75,0.00446078,0.00237439,0.00192518,0.000128345,2.152701707
RLc,1.25,3.75,0.00616792,0.00247494,0.00200671,0.000133781,2.195333223
RLc,1.33,3.75,0.0071784,0.00223018,0.00209079,0.000139386,2.237964738
RLc,1.41,3.75,0.0106233,0.00239523,0.00217748,0.000145166,2.280596254
RLc,1.49,3.75,0.00974735,0.00226683,0.00226683,0.000151122,2.323227769
RLc,1.57,3.75,0.0125806,0.00235887,0.00235887,0.000157258,2.365859285
RLc,1.65,3.75,0.0153763,0.00245366,0.00245366,0.000163578,2.4084908
RLc,1.73,3.75,0.0131815,0.00272135,0.00255126,0.000170084,2.451122316
RLc,1.81,3.75,0.0147935,0.00318205,0.00265171,0.000176781,2.493753831
RLc,1.89,3.75,0.018835,0.00376525,0.00275506,0.000183671,2.536385347
RLc,1.97,3.75,0.0205064,0.00419666,0.00286136,0.000190757,2.579016863
RLc,2.05,3.75,0.0179229,0.00445598,0.00297066,0.000198044,2.621648378
RLc,2.13,3.75,0.0199193,0.00483004,0.003083,0.000205534,2.664279894
RLc,2.21,3.75,0.0190251,0.00714321,0.00319845,0.00021323,2.706911409
RLc,2.29,3.75,0.0204861,0.00773978,0.00331705,0.000221137,2.749542925
RLc,2.37,3.75,0.0330129,0.0093995,0.00343884,0.000229256,2.79217444
RLc,2.45,3.75,0.0330077,0.00890971,0.00356388,0.000237592,2.834805956
RLc,2.53,3.75,0.0328044,0.00959978,0.00369222,0.000246148,2.877437472
RLc,2.61,3.75,0.0478205,0.010452,0.00382391,0.000254927,2.920068987
RLc,2.69,3.75,0.0304842,0.0100294,0.00395899,0.000263933,2.962700503
RLc,2.77,3.75,0.0383334,0.0107901,0.00409752,0.000273168,3.005332018
RLc,2.85,3.75,0.0366014,0.0130013,0.00423954,0.000282636,3.047963534
RLc,2.93,3.75,0.0402723,0.0133015,0.00438511,0.000292341,3.090595049
RLc,3.01,3.75,0.049427,0.013754,0.00453428,0.000302285,3.133226565
RLc,3.09,3.75,0.0593698,0.0156236,0.00312473,0.000156236,3.17585808
RTc,1.41,0.5,0.902509,0.0564868,0.00234473,0.0564868,0.548690934
RTc,1.49,0.5,0.975574,0.041246,0.00117237,0.0320802,0.59132245
RTc,1.57,0.5,1.03502,0.0375157,0.00138552,0.0227013,0.633953965
RTc,1.65,0.5,1.06376,0.0510513,0.00117237,0.0139618,0.676585481
RTc,1.73,0.5,1.02477,0.0403934,0.00117237,0.00319736,0.719216996
RTc,1.81,0.5,0.997682,0.0424184,0.00181184,0.00426315,0.761848512
RTc,1.89,0.5,1.04425,0.053396,0.0050092,0.00916578,0.804480027
RTc,1.97,0.5,0.983083,0.0509447,0.00809999,0.00575526,0.847111543
RTc,2.05,0.5,1.04946,0.0548881,0.00778025,0.00575526,0.889743059
RTc,2.13,0.5,1.03116,0.0570197,0.00820657,0.0158802,0.932374574
RTc,2.93,0.5,1.38213,0.15731,0.0186513,0.00298421,1.35868973
RTc,3.01,0.5,1.32085,0.151235,0.0174789,0.00373026,1.401321245
RTc,3.09,0.5,1.4157,0.14953,0.0163066,0.00479605,1.443952761
RTc,3.17,0.5,1.37982,0.141217,0.0158802,0.00639473,1.486584276
RTc,3.25,0.5,1.37147,0.136421,0.0140684,0.00671447,1.529215792
RTc,3.33,0.5,1.50066,0.0253658,0.00660789,0.000426315,1.571847307
RTc,3.41,0.5,1.51294,0.0280302,0.00522236,0.000213158,1.614478823
RTc,3.49,0.5,1.50568,0.0757775,0.00831315,0.00628815,1.657110339
RTc,3.57,0.5,1.53713,0.11777,0.0109776,0.0140684,1.699741854
RTc,3.65,0.5,1.49205,0.142602,0.0166263,0.0180118,1.74237337
RTc,3.73,0.5,1.54457,0.108391,0.0125763,0.0175855,1.785004885
RTc,3.81,0.5,1.5676,0.119475,0.0132158,0.0124697,1.827636401
RTc,3.89,0.5,1.65155,0.0749249,0.00586184,0.0114039,1.870267916
RTc,3.97,0.5,1.62436,0.114572,0.01215,0.0180118,1.912899432
RTc,4.05,0.5,1.59543,0.11276,0.0132158,0.02025,1.955530948
RTc,0.61,0.8,0.157737,0.0110842,0.00873946,0.00106579,0.282243962
RTc,0.69,0.8,0.237577,0.0150276,0.00991183,0.00106579,0.324875477
RTc,0.77,0.8,0.356864,0.0197171,0.0090592,0.00522236,0.367506993
RTc,0.85,0.8,0.444474,0.0225947,0.00778025,0.00458289,0.410138508
RTc,0.93,0.8,0.472259,0.0240868,0.00532894,0.00181184,0.452770024
RTc,1.01,0.8,0.484294,0.0170526,0.00319736,0.00490263,0.49540154
