Z,A,E0,ThetaDeg,nu,cross,error
6,12,1.2044,10.8,0.82474,3899.8,204.687
6,12,1.2044,10.8,0.83678,1332.16,119.632
6,12,1.2044,10.8,0.84882,0,0
6,12,1.2044,10.8,0.86086,0,0
6,12,1.2044,10.8,0.8729,0,0
6,12,1.2044,10.8,0.88494,0,0
6,12,1.2044,10.8,0.89698,0,0
6,12,1.2044,10.8,0.90902,0,0
6,12,1.2044,10.8,0.92106,0,0
6,12,1.2044,10.8,0.9331,0,0
6,12,1.2044,10.8,0.94514,0,0
6,12,1.2044,10.8,0.95718,0,0
6,12,1.2044,10.8,0.96922,0,0
6,12,1.2044,10.8,0.98126,0,0
6,12,1.2044,10.8,0.9933,0,0
6,12,1.2044,10.8,1.00534,0,0
6,12,1.2044,10.8,1.01738,0,0
6,12,1.2044,10.8,1.02942,0,0
6,12,1.2044,10.8,1.04146,0,0
6,12,1.2044,10.8,1.0535,0,0
6,12,1.2044,10.8,1.06554,0,0
6,12,1.2044,10.8,1.07758,0,0
6,12,1.2044,10.8,1.08962,0,0
6,12,1.2044,10.8,1.10166,0,0
6,12,1.2044,10.8,1.1137,0,0
6,12,1.2044,10.8,1.12574,0,0
6,12,1.2044,10.8,1.13778,0,0
6,12,1.2044,10.8,1.14982,0,0
6,12,1.2044,10.8,1.16186,0,0
6,12,1.2044,10.8,1.1739,0,0
6,12,1.2044,10.8,1.18594,0,0
6,12,1.2044,13.01,0.00602,308275,1660.32
6,12,1.2044,13.01,0.01806,667243,2442.67
6,12,1.2044,13.01,0.0301,862211,2776.71
6,12,1.2044,13.01,0.04214,956846,2925.12
6,12,1.2044,13.01,0.05418,915784,2861.67
6,12,1.2044,13.01,0.06622,793302,2663.44
6,12,1.2044,13.01,0.07826,639808,2391.93
6,12,1.2044,13.01,0.0903,487272,2087.41
6,12,1.2044,13.01,0.10234,353344,1777.55
6,12,1.2044,13.01,0.11438,254004,1507.11
6,12,1.2044,13.01,0.12642,176421,1256.03
6,12,1.2044,13.01,0.13846,124753,1056.21
6,12,1.2044,13.01,0.1505,91327.1,903.697
6,12,1.2044,13.01,0.16254,69982,791.072
6,12,1.2044,13.01,0.17458,60342.2,734.571
6,12,1.2044,13.01,0.18662,55003.7,701.325
6,12,1.2044,13.01,0.19866,56121.5,708.415
6,12,1.2044,13.01,0.2107,58482.2,723.161
6,12,1.2044,13.01,0.22274,61531.5,741.775
6,12,1.2044,13.01,0.23478,63990.7,756.452
6,12,1.2044,13.01,0.24682,65886.4,767.575
6,12,1.2044,13.01,0.25886,65671.8,766.324
6,12,1.2044,13.01,0.2709,66986.3,773.956
6,12,1.2044,13.01,0.28294,65680.7,766.377
6,12,1.2044,13.01,0.29498,68712.2,783.863
6,12,1.2044,13.01,0.30702,70938.8,796.462
6,12,1.2044,13.01,0.31906,75964.3,824.191
6,12,1.2044,13.01,0.3311,80802.1,850.03
6,12,1.2044,13.01,0.34314,84101.8,867.213
6,12,1.2044,13.01,0.35518,86596.6,879.982
6,12,1.2044,13.01,0.36722,88447.7,889.337
6,12,1.2044,13.01,0.37926,87607.1,885.101
6,12,1.2044,13.01,0.3913,84790.3,870.756
6,12,1.2044,13.01,0.40334,82358,858.175
6,12,1.2044,13.01,0.41538,78727.5,839.047
6,12,1.2044,13.01,0.42742,74739.2,817.518
6,12,1.2044,13.01,0.43946,69025.1,785.646
6,12,1.2044,13.01,0.4515,65287.3,764.078
6,12,1.2044,13.01,0.46354,60190.2,733.645
6,12,1.2044,13.01,0.47558,57185.6,715.1
6,12,1.2044,13.01,0.48762,51918.6,681.373
6,12,1.2044,13.01,0.49966,48511.6,658.637
6,12,1.2044,13.01,0.5117,44594.9,631.489
6,12,1.2044,13.01,0.52374,42234.2,614.547
6,12,1.2044,13.01,0.53578,38210.2,584.538
6,12,1.2044,13.01,0.54782,36332.3,569.993
6,12,1.2044,13.01,0.55986,33309.8,545.77
6,12,1.2044,13.01,0.5719,30332.1,520.804
6,12,1.2044,13.01,0.58394,29464.7,513.303
6,12,1.2044,13.01,0.59598,28346.9,503.473
6,12,1.2044,13.01,0.60802,27220.2,493.365
6,12,1.2044,13.01,0.62006,26862.5,490.113
6,12,1.2044,13.01,0.6321,27175.5,492.96
6,12,1.2044,13.01,0.64414,27327.5,494.337
6,12,1.2044,13.01,0.65618,27273.8,493.851
6,12,1.2044,13.01,0.66822,27434.8,495.306
6,12,1.2044,13.01,0.68026,26647.9,488.151
6,12,1.2044,13.01,0.6923,27855.1,499.086
6,12,1.2044,13.01,0.70434,28686.7,506.481
6,12,1.2044,13.01,0.71638,29688.2,515.247
6,12,1.2044,13.01,0.72842,29303.7,511.899
6,12,1.2044,13.01,0.74046,29142.8,510.491
6,12,1.2044,13.01,0.7525,29169.6,510.726
6,12,1.2044,13.01,0.76454,29956.5,517.57
6,12,1.2044,13.01,0.77658,30725.5,524.171
6,12,1.2044,13.01,0.78862,30332.1,520.804
6,12,1.2044,13.01,0.80066,28543.6,505.217
6,12,1.2044,13.01,0.8127,26021.9,482.384
6,12,1.2044,13.01,0.82474,23840,461.718
6,12,1.2044,13.01,0.83678,20960.6,432.937
6,12,1.2044,13.01,0.84882,18456.8,406.257
6,12,1.2044,13.01,0.86086,16954.5,389.373
6,12,1.2044,13.01,0.8729,13592.2,348.633
6,12,1.2044,13.01,0.88494,11616,322.293
6,12,1.2044,13.01,0.89698,9630.79,293.464
6,12,1.2044,13.01,0.90902,7144.85,252.767
6,12,1.2044,13.01,0.92106,4426.41,198.952
6,12,1.2044,13.01,0.9331,2110.37,137.373
