bin_index,qvcenter,EX_RL,RL,EX_RT,RT,nu_RL,nu_RT
1,0.148,0.02321623,0.050341212,0.031917,0.0133596,0.024169881,0.032848516
1,0.148,0.02329296,0.05130972,0.032089,0.0130608,0.024246445,0.033020011
1,0.148,0.02341376,0.05285826,0.032257,0.0130176,0.024366983,0.033187515
1,0.148,0.02349362,0.053820468,0.032424,0.0129312,0.024446669,0.033354019
1,0.148,0.02366496,0.054158112,0.03263,0.0129636,0.024617634,0.033559404
1,0.148,0.02383595,0.054149004,0.03282,0.0121896,0.024788247,0.033748834
1,0.148,0.02391256,0.053003808,0.033008,0.0113112,0.024864687,0.033936267
1,0.148,0.0239656,0.051593004,0.033171,0.0111384,0.024917609,0.034098772
1,0.148,0.02403085,0.049955976,0.033347,0.0109548,0.024982714,0.034274235
1,0.148,0.02411661,0.048165192,0.033506,0.0110196,0.025068282,0.034432748
1,0.148,0.02419958,0.046555704,0.033674,0.0114804,0.025151066,0.034600231
1,0.148,0.02421592,0.045240012,0.033841,0.011862,0.025167369,0.034766715
1,0.148,0.02431207,0.04340394,0.034009,0.0123516,0.025263303,0.034934192
1,0.148,0.02435285,0.042179328,0.034182,0.0120384,0.025303991,0.035106652
1,0.148,0.02441476,0.040452984,0.034336,0.011754,0.025365761,0.035260169
1,0.148,0.02443205,0.04141296,0.034421,0.012042,0.025383012,0.035344901
1,0.148,0.02460861,0.042035292,0.0346,0.0116208,0.02555917,0.035523336
1,0.148,0.02467765,0.0427509,0.034761,0.0113904,0.025628053,0.035683825
1,0.148,0.02482121,0.04316076,0.034924,0.0112968,0.025771283,0.035846305
1,0.148,0.02489119,0.044245332,0.035079,0.0110304,0.025841102,0.036000808
1,0.148,0.02499692,0.045497376,0.035247,0.0108936,0.025946588,0.036168268
1,0.148,0.02511736,0.04502016,0.035422,0.0108936,0.026066748,0.036342702
1,0.148,0.02527875,0.044532144,0.035599,0.0108,0.026227762,0.036519127
1,0.148,0.02544689,0.044621208,0.035787,0.0107568,0.026395507,0.036706513
1,0.148,0.02562978,0.044407152,0.035933,0.0108108,0.026577964,0.036852034
1,0.148,0.02580662,0.043220196,0.036096,0.0113508,0.026754384,0.037014497
1,0.148,0.02600082,0.04229316,0.036241,0.0112644,0.026948118,0.037159018
1,0.148,0.02609541,0.041361264,0.036427,0.0113256,0.02704248,0.0373444
1,0.148,0.02620075,0.040069944,0.036598,0.0113184,0.027147566,0.037514829
1,0.148,0.02629245,0.040449312,0.036773,0.009198,0.027239043,0.037689243
1,0.148,0.02641668,0.04008204,0.036789,0.0107496,0.02736297,0.037705189
1,0.148,0.02656726,0.038619504,0.036974,0.0100044,0.027513182,0.037889565
1,0.148,0.02659475,0.037586808,0.037137,0.0091764,0.027540604,0.038052014
1,0.148,0.02670797,0.038114856,0.037287,0.0094932,0.027653545,0.038201504
1,0.148,0.02681169,0.0373977,0.03743,0.0100908,0.027757009,0.038344016
1,0.148,0.02699358,0.036701424,0.0376,0.0109656,0.027938447,0.038513433
1,0.148,0.02718014,0.036877608,0.037803,0.0117144,0.02812454,0.038715734
1,0.148,0.02721651,0.036179028,0.037927,0.011934,0.028160819,0.038839306
1,0.148,0.02738426,0.034172496,0.038034,0.0126792,0.028328146,0.038945935
1,0.148,0.02738984,0.03527514,0.038224,0.012672,0.028333712,0.039135274
1,0.148,0.02758014,0.03389508,0.038375,0.0123336,0.028523529,0.039285746
1,0.148,0.02773032,0.033539076,0.038551,0.012096,0.028673326,0.039461128
1,0.148,0.02781302,0.03411972,0.038707,0.011844,0.028755814,0.039616578
1,0.148,0.02798344,0.034847136,0.038849,0.0117036,0.028925795,0.039758076
1,0.148,0.02820115,0.034915608,0.039029,0.0113112,0.029142941,0.039937436
1,0.148,0.02837752,0.034443072,0.039206,0.0111132,0.029318851,0.040113805
1,0.148,0.02840826,0.033689304,0.039367,0.010458,0.029349511,0.040274228
1,0.148,0.02859761,0.032865084,0.039493,0.0096372,0.029538363,0.040399775
1,0.148,0.02879937,0.032518152,0.03957,0.010278,0.02973959,0.040476497
1,0.148,0.02898022,0.03408426,0.039675,0.0091296,0.029919959,0.040581118
1,0.148,0.02899409,0.035020908,0.039773,0.009882,0.029933792,0.040678763
1,0.148,0.0291171,0.03462444,,,0.030056472,
1,0.148,0.02924013,0.0345402,,,0.030179172,
1,0.148,0.0292997,0.035372988,,,0.030238581,
1,0.148,0.02944717,0.035451648,,,0.030385652,
1,0.148,0.02961791,0.035290368,,,0.030555928,
1,0.148,0.02979876,0.03500406,,,0.030736284,
1,0.148,0.02997847,0.033940512,,,0.0309155,
1,0.148,0.03013051,0.033086124,,,0.031067119,
1,0.148,0.03017258,0.031951188,,,0.031109072,
1,0.148,0.03024603,0.03211434,,,0.031182318,
1,0.148,0.03032861,0.032535396,,,0.031264668,
1,0.148,0.03044214,0.032047164,,,0.031377881,
1,0.148,0.03061275,0.031087728,,,0.031548012,
1,0.148,0.03078439,0.02963556,,,0.031719168,
1,0.148,0.03078918,0.03056832,,,0.031723944,
1,0.148,0.03092185,0.029299752,,,0.031856238,
1,0.148,0.03103354,0.029181672,,,0.03196761,
1,0.148,0.03115509,0.028771128,,,0.032088813,
1,0.148,0.03123069,0.029421324,,,0.032164196,
1,0.148,0.03140601,0.029420748,,,0.032339012,
1,0.148,0.03158104,0.028929168,,,0.032513536,
1,0.148,0.03171157,0.029615832,,,0.032643686,
1,0.148,0.03180572,0.029251764,,,0.032737562,
1,0.148,0.03190806,0.027914364,,,0.032839602,
1,0.148,0.03195521,0.026669232,,,0.032886614,
1,0.148,0.03202661,0.027006984,,,0.032957804,
1,0.148,0.03213342,0.026086536,,,0.0330643,
