qv,q2,ex,nu,W2,RLTOT,RTTOT
1.21871,0.026,1.20775,1.208,3.121223790529,808248825.6822482,607258278.119796
1.21896,0.026,1.208,1.20825,3.1216929270290006,809279929.2285436,608032874.438236
1.21921,0.026,1.20825,1.2085,3.122162063529,810312173.215324,608808327.4033008
1.21946,0.026,1.2085,1.20875,3.122631200029,811345558.7148435,609584637.8203533
1.2197,0.026,1.20875,1.209,3.123100336529,812380086.8001853,610361806.4953803
1.21995,0.026,1.209,1.20925,3.1235694730290002,813415758.5452703,611139834.2349957
1.2202,0.026,1.20925,1.2095,3.1240386095290003,814452575.0248519,611918721.8464411
1.22045,0.026,1.2095,1.20975,3.1245077460290003,815490537.3145219,612698470.1375855
1.2207,0.026,1.20975,1.21,3.1249768825290003,816529646.4907056,613479079.9169255
1.22094,0.026,1.21,1.21025,3.1254460190290003,817569903.6306667,614260551.9935862
1.22119,0.026,1.21025,1.2105,3.125915155529,818611309.8125039,615042887.1773208
1.22144,0.026,1.2105,1.21075,3.1263842920290004,819653866.1151587,615826086.2785143
1.22169,0.026,1.21075,1.211,3.1268534285290004,820697573.6184036,616610150.1081773
1.22193,0.026,1.211,1.21125,3.127322565029,821742433.402853,617395079.477952
1.22218,0.026,1.21125,1.2115,3.1277917015290004,822788446.549965,618180875.2001135
1.22243,0.026,1.2115,1.21175,3.1282608380290005,823835614.1420292,618967538.0875627
1.22268,0.026,1.21175,1.212,3.128729974529,824883937.2621796,619755068.9538343
1.22293,0.026,1.212,1.21225,3.1291991110290005,825933416.9943943,620543468.613096
1.22317,0.026,1.21225,1.2125,3.129668247529,826984054.423485,621332737.8801427
1.22342,0.026,1.2125,1.21275,3.130137384029,828035850.6351125,622122877.5704063
1.22367,0.026,1.21275,1.213,3.1306065205290006,829088806.7157764,622913888.4999499
1.22392,0.026,1.213,1.21325,3.131075657029,830142923.7528174,623705771.4854667
1.22417,0.026,1.21325,1.2135,3.131544793529,831198202.8344241,624498527.3442873
1.22441,0.026,1.2135,1.21375,3.1320139300290006,832254645.0496267,625292156.8943748
1.22466,0.026,1.21375,1.214,3.132483066529,833312251.488297,626086660.9543242
1.22491,0.026,1.214,1.21425,3.1329522030290002,834371023.2411572,626882040.3433689
1.22516,0.026,1.21425,1.2145,3.1334213395290003,835430961.3997712,627678295.8813747
1.2254,0.026,1.2145,1.21475,3.1338904760290003,836492067.0565501,628475428.3888435
1.22565,0.026,1.21475,1.215,3.1343596125290003,837554341.3047512,629273438.6869125
1.2259,0.026,1.215,1.21525,3.1348287490290003,838617785.2384783,630072327.5973558
1.22615,0.026,1.21525,1.2155,3.1352978855290004,839682399.9526839,630872095.9425833
1.2264,0.026,1.2155,1.21575,3.1357670220290004,840748186.5431674,631672744.5456426
1.22664,0.026,1.21575,1.216,3.1362361585290004,841815146.1065778,632474274.2302179
1.22689,0.026,1.216,1.21625,3.1367052950290004,842883279.7404125,633276685.8206313
1.22714,0.026,1.21625,1.2165,3.137174431529,843952588.5430171,634079980.1418421
1.22739,0.026,1.2165,1.21675,3.1376435680290005,845023073.6135927,634884158.0194521
1.22763,0.026,1.21675,1.217,3.1381127045290005,846094736.0521841,635689220.2796957
1.22788,0.026,1.217,1.21725,3.138581841029,847167576.9596901,636495167.7494504
1.22813,0.026,1.21725,1.2175,3.1390509775290005,848241597.4378649,637302001.256235
1.22838,0.026,1.2175,1.21775,3.1395201140290006,849316808.5893085,638109721.6282039
1.22863,0.026,1.21775,1.218,3.139989250529,850393191.517477,638918329.6941543
1.22887,0.026,1.218,1.21825,3.1404583870290006,851470757.3266822,639727826.2835262
1.22912,0.026,1.21825,1.2185,3.140927523529,852549507.1220833,640538212.2263955
1.22937,0.026,1.2185,1.21875,3.141396660029,853629442.0097003,641349488.353486
1.22962,0.026,1.21875,1.219,3.1418657965290007,854710563.0964059,642161655.4961603
1.22987,0.026,1.219,1.21925,3.1423349330290002,855792871.4899237,642974714.4864216
1.23011,0.026,1.21925,1.2195,3.1428040695290003,856876368.2988411,643788666.1569196
1.23036,0.026,1.2195,1.21975,3.1432732060290003,857961054.6325969,644603511.340946
1.23061,0.026,1.21975,1.22,3.1437423425290003,859046931.6014869,645419250.8724347
1.23086,0.026,1.22,1.22025,3.1442114790290003,860134000.3166666,646235885.5859654
1.2311,0.026,1.22025,1.2205,3.1446806155290004,861222261.8901473,647053416.3167613
1.23135,0.026,1.2205,1.22075,3.1451497520290004,862311717.4348006,647871843.9006904
1.2316,0.026,1.22075,1.221,3.1456188885290004,863402368.064356,648691169.1742665
1.23185,0.026,1.221,1.22125,3.146088025029,864494214.8934026,649511392.974647
1.2321,0.026,1.22125,1.2215,3.1465571615290004,865587259.0373918,650332516.1396402
1.23234,0.026,1.2215,1.22175,3.147026298029,866681501.6126316,651154539.5076936
1.23259,0.026,1.22175,1.222,3.147495434529,867776943.7362947,651977463.9179078
1.23284,0.026,1.222,1.22225,3.1479645710290005,868873586.5264157,652801290.2100284
