Z A E0 ThetaDeg nu cross error dataSet
 20  40  0.1890 140.000  0.0086  1.018e+03  2.171e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0128  2.093e+03  3.966e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0183  3.924e+03  5.766e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0288  5.498e+03  7.435e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0394  7.990e+03  9.787e+01 Williamson:1997 
 20  40  0.1890 140.000  0.0500  1.003e+04  1.178e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0606  1.084e+04  1.287e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0712  1.166e+04  1.397e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0819  1.093e+04  1.150e+02 Williamson:1997 
 20  40  0.1890 140.000  0.0925  9.377e+03  1.339e+02 Williamson:1997 
 20  40  0.1890 140.000  0.1031  6.725e+03  1.198e+02 Williamson:1997 
 20  40  0.1890 140.000  0.1138  5.122e+03  1.155e+02 Williamson:1997 
 20  40  0.2000  60.000  0.0075  5.222e+05  1.774e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0125  2.338e+05  8.563e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0175  3.185e+05  1.130e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0225  2.667e+05  1.087e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0275  2.337e+05  1.020e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0325  2.306e+05  1.053e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0375  2.228e+05  1.067e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0425  2.088e+05  1.061e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0475  2.022e+05  1.082e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0525  1.653e+05  9.491e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0575  1.364e+05  9.292e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0625  1.052e+05  8.707e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0675  8.589e+04  8.595e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0725  6.834e+04  8.619e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0775  5.876e+04  9.095e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0825  4.073e+04  9.318e+03 Meziani:1984is 
 20  40  0.2000  60.000  0.0875  2.985e+04  1.007e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0925  1.484e+04  1.089e+04 Meziani:1984is 
 20  40  0.2000  60.000  0.0975  4.552e+03  1.222e+04 Meziani:1984is 
 20  40  0.2000  90.000  0.0075  2.575e+04  9.237e+02 Meziani:1984is 
 20  40  0.2000  90.000  0.0125  2.235e+04  8.028e+02 Meziani:1984is 
 20  40  0.2000  90.000  0.0175  2.742e+04  9.448e+02 Meziani:1984is 
 20  40  0.2000  90.000  0.0225  3.136e+04  1.187e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0275  3.174e+04  1.237e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0325  3.413e+04  1.358e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0375  3.921e+04  1.576e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0425  3.939e+04  1.629e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0475  4.074e+04  1.730e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0525  4.125e+04  1.741e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0575  4.039e+04  1.811e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0625  3.954e+04  1.847e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0675  3.693e+04  1.815e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0725  3.425e+04  1.780e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0775  2.937e+04  1.650e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0825  2.541e+04  1.546e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0875  2.082e+04  1.438e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0925  1.728e+04  1.390e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0975  1.453e+04  1.399e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.1025  1.034e+04  1.382e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.1075  7.629e+03  1.498e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.1125  5.849e+03  1.738e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.1175  3.222e+03  2.056e+03 Meziani:1984is 
 20  40  0.2000  90.000  0.0006  2.152e+03  1.027e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0049  5.731e+04  9.166e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0099  1.846e+04  3.493e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0149  2.279e+04  3.814e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0264  2.845e+04  4.497e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0372  3.367e+04  4.662e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0482  3.744e+04  5.881e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0587  3.674e+04  5.600e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0699  3.390e+04  5.328e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0806  2.510e+04  4.465e+02 Williamson:1997 
 20  40  0.2000  90.000  0.0918  2.047e+04  5.240e+02 Williamson:1997 
 20  40  0.2000 140.000  0.0075  4.554e+02  2.440e+01 Meziani:1984is 
 20  40  0.2000 140.000  0.0125  1.384e+03  5.600e+01 Meziani:1984is 
 20  40  0.2000 140.000  0.0175  3.127e+03  1.092e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0225  3.590e+03  1.415e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0275  4.119e+03  1.636e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0325  5.174e+03  2.051e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0375  6.741e+03  2.658e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0425  7.654e+03  3.063e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0475  8.725e+03  3.552e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0525  9.368e+03  3.774e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0575  1.013e+04  4.258e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0625  1.029e+04  4.471e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0675  1.102e+04  4.925e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0725  1.121e+04  5.180e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0775  1.172e+04  5.586e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0825  1.112e+04  5.683e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0875  1.053e+04  5.626e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0925  9.437e+03  5.327e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.0975  8.882e+03  5.246e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.1025  7.756e+03  4.872e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.1075  6.692e+03  4.456e+02 Meziani:1984is 
 20  40  0.2000 140.000  0.1125  5.690e+03  4.105e+02 Meziani:1984is 
