Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,Ex,w2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,sigtot_shifted,qe_shifted,ns_shifted,ratio
26,56,0.2988,90.0,0.20415,8576.18334,374.6159125,Altemus:1973,0.0947,90.0000,0.2041,0.1986,1.2069,0.0566,6298.4479999999985,1123.5120000000002,4044.7680000000005,1130.2199999999998,0.0,6298.4479999999985,7102.211999999998,1927.2759999999998,0.0,1.2075369391958453
26,56,0.2988,90.0,0.213,9132.92538,507.4414159,Altemus:1973,0.0858,90.0000,0.2130,0.2075,1.2288,0.0513,6706.544000000001,729.144,4973.8,1003.6,0.0,6706.544000000001,7326.332,1348.9319999999998,0.0,1.2465890680356828
26,56,0.2988,90.0,0.22184,10034.47963,867.3905744,Altemus:1973,0.0770,90.0000,0.2218,0.2163,1.2507,0.0460,7315.463999999998,438.67199999999997,6016.816,860.028,0.0,7315.463999999998,7777.379999999998,900.5880000000001,0.0,1.2902133661978714
26,56,0.2988,90.0,0.22745,11392.1325,1077.08546,Altemus:1973,0.0713,90.0000,0.2275,0.2219,1.2645,0.0426,7799.791999999999,300.664,6736.443999999999,762.736,0.0,7799.791999999999,8173.983999999999,674.8559999999999,0.0,1.3937062392096684
26,56,0.2988,90.0,0.23414,12264.2377,1669.250998,Altemus:1973,0.0647,90.0000,0.2341,0.2286,1.2811,0.0386,8450.364,176.696,7630.064,643.6039999999999,0.0,8450.364,8731.944,458.2759999999999,0.0,1.4045254642036185
26,56,0.3208,90.0,0.04428,8221.2298,219.2440914,Altemus:1973,0.2765,90.0000,0.0443,0.0379,0.7860,0.1774,8154.276000000001,5410.132,0.0,2057.952,686.192,7468.1359999999995,4378.244000000001,2232.932,87.36000000000001,1.8777459182265763
26,56,0.3208,90.0,0.05501,10902.5273,271.7601727,Altemus:1973,0.2658,90.0000,0.0550,0.0486,0.8131,0.1705,11529.336,7839.572,4.992,3223.116,461.65599999999995,11067.628,8430.292,4897.411999999999,304.77199999999993,1.2932561885163647
26,56,0.3208,90.0,0.06528,12996.5941,318.2705181,Altemus:1973,0.2555,90.0000,0.0653,0.0589,0.8389,0.1639,14412.475999999999,10029.707999999999,11.856,4299.984,70.97999999999999,14341.496,11836.344000000001,7227.74,296.81600000000003,1.0980243646179935
26,56,0.3208,90.0,0.07599,14640.4153,354.5539205,Altemus:1973,0.2448,90.0000,0.0760,0.0696,0.8659,0.1571,17210.439999999995,12008.256,21.787999999999997,5178.264,2.1319999999999997,17208.307999999997,14822.157999999996,9560.928,61.178000000000004,0.9877384453734743
26,56,0.3208,90.0,0.0865,16393.6122,425.0235207,Altemus:1973,0.2343,90.0000,0.0865,0.0801,0.8923,0.1503,19132.724000000002,13462.227999999997,36.81599999999999,5633.679999999999,0.0,19132.724000000002,17258.228000000006,11584.976,2.756,0.9499012413093623
26,56,0.3208,90.0,0.09706,17386.4887,435.416321,Altemus:1973,0.2237,90.0000,0.0971,0.0907,0.9189,0.1436,19871.384,14202.499999999998,59.17599999999999,5609.708,0.0,19871.384,18848.674000000003,13179.764,0.026,0.9224250310658457
26,56,0.3208,90.0,0.1075,17713.5539,458.6901666,Altemus:1973,0.2133,90.0000,0.1075,0.1011,0.9452,0.1369,19316.804,14055.287999999999,110.96799999999998,5150.548,0.0,19316.804,19362.772,14101.256,0.0,0.9148253101363791
26,56,0.3208,90.0,0.11817,17842.0438,480.1053391,Altemus:1973,0.2026,90.0000,0.1182,0.1118,0.9721,0.1300,17579.64,13040.351999999999,161.148,4378.14,0.0,17579.64,18705.284,14165.996,0.0,0.9538504627890173
26,56,0.3208,90.0,0.12874,16787.5771,468.5084453,Altemus:1973,0.1921,90.0000,0.1287,0.1224,0.9987,0.1232,15211.923999999997,11438.283999999998,265.92799999999994,3507.7119999999995,0.0,15211.923999999997,17110.703999999998,13337.063999999997,0.0,0.9811155110859261
26,56,0.3208,90.0,0.13935,15690.6344,467.8177378,Altemus:1973,0.1814,90.0000,0.1394,0.1330,1.0254,0.1164,12666.367999999999,9581.0,373.67199999999997,2711.644,0.0,12666.367999999999,14919.631999999998,11834.264,0.0,1.051677038682992
26,56,0.3208,90.0,0.14992,13448.9635,435.3817457,Altemus:1973,0.1709,90.0000,0.1499,0.1436,1.0521,0.1096,10434.008,7757.8279999999995,567.112,2109.0679999999998,0.0,10434.008,12688.26,10012.08,0.0,1.0599533348150179
26,56,0.3208,90.0,0.16053,11467.4581,394.760277,Altemus:1973,0.1603,90.0000,0.1605,0.1542,1.0788,0.1028,8661.952,6109.74,830.076,1722.1360000000002,0.0,8661.952,10710.127999999997,8157.915999999998,0.0,1.0707115825319737
26,56,0.3208,90.0,0.17112,9942.35732,370.099712,Altemus:1973,0.1497,90.0000,0.1711,0.1648,1.1054,0.0960,7396.324,4704.024,1178.9959999999999,1513.3039999999999,0.0,7396.324,9156.264,6463.963999999999,0.0,1.0858530640881476
26,56,0.3208,90.0,0.18174,8952.56033,349.9380243,Altemus:1973,0.1391,90.0000,0.1817,0.1754,1.1322,0.0892,6584.136,3536.728,1635.192,1412.268,0.0,6584.136,8045.855999999999,4998.4479999999985,0.0,1.1126920901890367
26,56,0.3208,90.0,0.19233,8341.11831,356.6445618,Altemus:1973,0.1285,90.0000,0.1923,0.1860,1.1588,0.0824,6205.471999999999,2593.24,2257.58,1354.652,0.0,6205.471999999999,7393.463999999999,3781.232,0.0,1.1281746025949408
26,56,0.3208,90.0,0.20297,8019.04404,337.0605433,Altemus:1973,0.1178,90.0000,0.2030,0.1966,1.1856,0.0756,6122.116,1838.9279999999997,2987.296,1295.944,0.0,6122.116,7069.036,2785.8479999999995,0.0,1.1343900413012467
26,56,0.3208,90.0,0.21356,8588.6472,383.9116228,Altemus:1973,0.1072,90.0000,0.2136,0.2072,1.2123,0.0688,6370.364,1253.512,3902.7559999999994,1214.148,0.0,6370.364,7111.104,1994.2520000000004,0.0,1.2077797202797202
26,56,0.3208,90.0,0.23479,9272.72318,623.7491264,Altemus:1973,0.0860,90.0000,0.2348,0.2284,1.2658,0.0552,7631.364,481.676,6191.016,958.7239999999998,0.0,7631.364,8046.427999999999,896.7399999999999,0.0,1.1524024299975097
26,56,0.3208,90.0,0.25569,12925.4468,1685.309328,Altemus:1973,0.0651,90.0000,0.2557,0.2493,1.3184,0.0418,9614.072,116.06400000000001,8877.336,620.6719999999999,0.0,9614.072,9803.144,305.13599999999997,0.0,1.318500146483618
26,56,0.3488,90.0,0.05631,7305.51276,151.707361,Altemus:1973,0.2925,90.0000,0.0563,0.0488,0.7820,0.2040,7079.280000000001,4742.139999999999,4.628,2111.408,221.10399999999998,6858.1759999999995,5042.544000000001,2790.06,136.44799999999998,1.44877521346368
26,56,0.3488,90.0,0.0856,13410.8988,221.9875939,Altemus:1973,0.2632,90.0000,0.0856,0.0781,0.8574,0.1836,13505.699999999999,9110.243999999999,21.319999999999997,4374.1359999999995,0.0,13505.699999999999,11692.278,7293.728,3.0940000000000003,1.1469876785344995
26,56,0.3488,90.0,0.09665,14079.0728,232.4205327,Altemus:1973,0.2521,90.0000,0.0966,0.0892,0.8858,0.1759,15184.519999999999,10315.863999999998,36.39999999999999,4832.203999999999,0.0,15184.519999999999,13728.39,8859.707999999999,0.026,1.0255443500658126
26,56,0.3488,90.0,0.10218,14463.8117,333.568594,Altemus:1973,0.2466,90.0000,0.1022,0.0947,0.9001,0.1720,15713.931999999997,10742.783999999998,51.376,4919.772,0.0,15713.931999999997,14515.124,9543.976,0.0,0.9964649079126021
26,56,0.3488,90.0,0.11232,14920.7565,348.2210085,Altemus:1973,0.2365,90.0000,0.1123,0.1049,0.9262,0.1650,16026.607999999997,11124.775999999998,81.276,4820.607999999999,0.0,16026.607999999997,15441.035999999996,10539.203999999998,0.0,0.9663054020468577
26,56,0.3488,90.0,0.12245,14663.1862,364.9903158,Altemus:1973,0.2263,90.0000,0.1225,0.1150,0.9522,0.1579,15471.975999999999,10926.967999999999,124.12399999999998,4420.883999999999,0.0,15471.975999999999,15618.98,11073.972,0.0,0.9388056198292078
26,56,0.3488,90.0,0.13259,14121.1031,379.9530816,Altemus:1973,0.2162,90.0000,0.1326,0.1251,0.9783,0.1508,14190.903999999997,10192.727999999997,184.704,3813.4719999999993,0.0,14190.903999999997,15039.751999999999,11041.576,0.0,0.9389186138175684
26,56,0.3488,90.0,0.14279,13367.7908,394.2755643,Altemus:1973,0.2060,90.0000,0.1428,0.1353,1.0046,0.1437,12496.171999999999,9074.883999999998,299.468,3121.8199999999997,0.0,12496.171999999999,13862.679999999998,10441.391999999998,0.0,0.964300611425785
26,56,0.3488,90.0,0.15306,12337.5096,339.3356797,Altemus:1973,0.1957,90.0000,0.1531,0.1456,1.0310,0.1365,10660.519999999999,7771.244,418.54800000000006,2470.728,0.0,10660.519999999999,12288.951999999997,9399.676,0.0,1.0039513214796512
26,56,0.3488,90.0,0.16326,9947.27877,271.7578148,Altemus:1973,0.1855,90.0000,0.1633,0.1558,1.0573,0.1294,9050.027999999998,6469.32,623.688,1957.0200000000002,0.0,9050.027999999998,10714.183999999997,8133.475999999998,0.0,0.9284214990147642
26,56,0.3488,90.0,0.17346,8674.19176,259.2035372,Altemus:1973,0.1753,90.0000,0.1735,0.1660,1.0835,0.1223,7715.967999999998,5264.168,842.8159999999998,1609.0359999999998,0.0,7715.967999999998,9272.067999999997,6820.267999999999,0.0,0.9355185660847183
26,56,0.3488,90.0,0.18373,8298.29,255.2788282,Altemus:1973,0.1651,90.0000,0.1837,0.1763,1.1100,0.1152,6786.312,4195.932,1180.6599999999999,1409.7199999999998,0.0,6786.312,8164.103999999999,5573.723999999999,0.0,1.0164360963554606
26,56,0.3488,90.0,0.19406,7754.0515,249.9990508,Altemus:1973,0.1547,90.0000,0.1941,0.1866,1.1366,0.1079,6206.407999999999,3279.64,1610.4919999999997,1316.2759999999998,0.0,6206.407999999999,7385.351999999999,4458.584,0.0,1.0499230774646897
