Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,sigtot_shifted,qe_shifted,ratio
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,0.0826,90.0,0.0677,0.0663,0.9826,0.0248,40284.81599999999,38001.808,5.356,2258.88,18.772,40266.044,64495.54799999999,64471.41999999999,0.7759295261744269
26,56,0.1503,90.0,0.078,38559.0,3360.6,Altemus:1973,0.0723,90.0,0.078,0.0765,1.005,0.0217,24058.112,22643.92,29.64,1384.396,0.156,24057.955999999995,45310.72,45280.924,0.8509906706404137
26,56,0.1503,90.0,0.08825,29398.0,5352.4,Altemus:1973,0.062,90.0,0.0882,0.0868,1.0273,0.0187,12872.652,11962.443999999998,92.612,817.6479999999999,0.0,12872.652,27976.936,27884.376,1.0507941255611408
26,56,0.2004,90.0,0.00662,23245.056,751.6475328,Altemus:1973,0.1938,90.0,0.0066,0.0041,0.8151,0.0777,6.292,0.0,0.0,0.0,6.292,0.0,3.8647952503385516,0.0,3694.38270820089
26,56,0.2004,90.0,0.01907,35637.534,1148.090287,Altemus:1973,0.1813,90.0,0.0191,0.0165,0.8435,0.0727,24402.664,0.0,0.0,0.0,24402.664,0.0,22927.402745555934,7938.321384651998,0.9547519664589892
26,56,0.2004,90.0,0.02962,40890.186,1311.421837,Altemus:1973,0.1708,90.0,0.0296,0.0271,0.8675,0.0684,33028.268,21261.656,0.0,3769.948,7996.664,25031.604,26408.018183736865,21496.150884666098,0.9510887672298868
26,56,0.2004,90.0,0.04019,46439.136,1435.94855,Altemus:1973,0.1602,90.0,0.0402,0.0376,0.8916,0.0642,47256.56,35405.5,0.0,5884.164,5966.896,41289.66399999999,32746.058811095794,29080.95529551027,0.8710896836902716
26,56,0.2004,90.0,0.05111,50533.146,1614.037431,Altemus:1973,0.1493,90.0,0.0511,0.0486,0.9164,0.0598,52405.85999999999,43503.304,0.0,6696.664,2205.892,50199.968,40794.26,38588.368,1.2387317725581983
26,56,0.2004,90.0,0.06146,52509.528,1681.870592,Altemus:1973,0.1389,90.0,0.0615,0.0589,0.94,0.0557,50246.196,43758.10399999999,8.527999999999999,6217.951999999999,261.664,49984.584,49176.192,48906.052,1.0677835323239342
26,56,0.2004,90.0,0.07202,48038.508,1560.399618,Altemus:1973,0.1284,90.0,0.072,0.0695,0.964,0.0515,43045.132,38006.28,29.64,5002.712,6.448,43038.684,50772.8,50736.66,0.9461465193962124
26,56,0.2004,90.0,0.08262,38085.444,1281.63414,Altemus:1973,0.1178,90.0,0.0826,0.0801,0.9882,0.0472,33202.780000000006,29489.095999999998,72.696,3640.884,0.052,33202.728,45066.37200000001,44993.572,0.8450967386502733
26,56,0.2004,90.0,0.09322,29724.318,1064.445116,Altemus:1973,0.1072,90.0,0.0932,0.0907,1.0123,0.043,23809.656,21128.9,154.80399999999997,2525.952,0.0,23809.656,35574.812,35420.007999999994,0.8355439236052744
26,56,0.2004,90.0,0.10382,20261.898,879.0214602,Altemus:1973,0.0966,90.0,0.1038,0.1013,1.0365,0.0387,16316.092,14244.931999999995,301.3399999999999,1769.8200000000002,0.0,16316.092,25964.900000000005,25663.56,0.7803572515203215
26,56,0.2004,90.0,0.11443,14484.618,993.6068924,Altemus:1973,0.086,90.0,0.1144,0.1119,1.0606,0.0345,10945.064,9049.3,595.3480000000001,1300.416,0.0,10945.064,18152.888000000003,17557.54,0.7979236141378715
26,56,0.2004,90.0,0.12503,13995.036,1582.953356,Altemus:1973,0.0754,90.0,0.125,0.1225,1.0848,0.0302,7334.132,5342.947999999999,996.372,994.812,0.0,7334.132,12468.664,11472.292,1.1224166438360998
26,56,0.2004,90.0,0.13513,13088.088,2737.185126,Altemus:1973,0.0653,90.0,0.1351,0.1326,1.1078,0.0262,5333.068,2925.416,1638.1039999999998,769.4959999999999,0.0,5333.068,8932.872,7294.7159999999985,1.4651601411057944
26,56,0.2497,90.0,0.00557,5664.50185,175.412735,Altemus:1973,0.2441,90.0,0.0056,0.0016,0.7689,0.1219,0.156,0.0,0.0,0.0,0.156,0.0,0.11723840047438626,0.0,36310.9092948718
26,56,0.2497,90.0,0.00846,8305.75235,259.5993176,Altemus:1973,0.2412,90.0,0.0085,0.0045,0.7758,0.1205,0.832,0.0,0.0,0.0,0.832,0.0,0.6252714691967267,0.0,9982.875420673075
26,56,0.2497,90.0,0.01298,11250.785,359.9238624,Altemus:1973,0.2367,90.0,0.013,0.0091,0.7865,0.1182,684.424,0.0,0.0,0.0,684.424,0.0,514.3639423479573,0.0,16.43832624221243
26,56,0.2497,90.0,0.0232,16698.7065,523.6934162,Altemus:1973,0.2265,90.0,0.0232,0.0193,0.8108,0.1131,5643.351999999999,1771.6919999999998,0.0,486.668,3384.992,2258.36,10410.418246924077,7866.501274497194,1.205479806576972
26,56,0.2497,90.0,0.03343,21914.382,680.1717062,Altemus:1973,0.2163,90.0,0.0334,0.0295,0.8351,0.108,16893.188000000002,11851.216,0.0,3138.564,1903.408,14989.78,16518.812467907374,15088.347664252562,0.99700122327743
26,56,0.2497,90.0,0.04366,26790.4525,826.5740453,Altemus:1973,0.206,90.0,0.0437,0.0397,0.8594,0.1029,26061.151999999995,18265.052,0.0,5097.248,2698.852,23362.248,22654.992189803103,20626.728782129394,0.8887127655876061
26,56,0.2497,90.0,0.05391,32057.6165,984.5534516,Altemus:1973,0.1958,90.0,0.0539,0.05,0.8837,0.0978,31090.02,23299.588,6.552,6552.624000000001,1231.3599999999997,29858.712,25317.632582443704,24387.38495414628,0.9515977849810916
26,56,0.2497,90.0,0.06417,33907.916,1041.996154,Altemus:1973,0.1855,90.0,0.0642,0.0602,0.9081,0.0927,33825.324,26501.176000000003,20.54,7165.86,137.748,33687.576,28509.259999999995,28350.972,1.1893649993019813
26,56,0.2497,90.0,0.07442,36256.668,1114.140793,Altemus:1973,0.1753,90.0,0.0744,0.0705,0.9325,0.0875,34325.46,27387.307999999997,34.267999999999994,6900.348,3.587999999999999,34321.872,32981.67600000001,32943.872,1.0992973189112645
26,56,0.2497,90.0,0.08469,36179.983,1115.095255,Altemus:1973,0.165,90.0,0.0847,0.0808,0.9569,0.0824,31892.588,25844.78,68.06799999999998,5979.74,0.0,31892.536,34511.255999999994,34443.187999999995,1.048353122818828
26,56,0.2497,90.0,0.09492,34420.61,1143.242503,Altemus:1973,0.1548,90.0,0.0949,0.091,0.9812,0.0773,27384.344,22491.56,123.292,4769.544,0.0,27384.344,32874.556,32751.316,1.047028893713424
26,56,0.2497,90.0,0.10521,26609.695,871.4339958,Altemus:1973,0.1445,90.0,0.1052,0.1013,1.0056,0.0722,22119.604,18312.996,209.248,3597.36,0.0,22119.604,28807.636,28598.388,0.9237028335126144
