Z,A,E0,ThetaDeg,nu,cross,error,dataSet,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.1507,160.0,0.06549,14356.5408,264.5,Altemus:1973,18353.556,14327.196,26.208,3991.8839999999996,8.267999999999999,18345.288,0.7822212109740477
26,56,0.1507,160.0,0.07073,13699.3752,271.69,Altemus:1973,16459.612,12951.484,36.556,3469.8559999999993,1.716,16457.895999999997,0.8323024382348745
26,56,0.1507,160.0,0.07593,12546.6273,273.96,Altemus:1973,14232.867999999999,11287.016,49.92,2895.6719999999996,0.25999999999999995,14232.66,0.8815248831085907
26,56,0.1507,160.0,0.08121,10976.832,272.56,Altemus:1973,11859.328,9476.064,67.288,2315.976,0.0,11859.328,0.9255863401366419
26,56,0.1507,160.0,0.08647,9119.0754,269.62,Altemus:1973,9589.06,7698.703999999999,102.44,1787.864,0.0,9589.06,0.950987416910521
26,56,0.1603,140.0,0.00516,2420.06088,132.0304528,Altemus:1973,310.17999999999995,0.0,0.0,0.0,310.17999999999995,0.0,7.8021177380875635
26,56,0.1603,140.0,0.01117,4924.722,260.8708235,Altemus:1973,3568.396,0.0,0.0,0.0,3568.396,0.0,1.3800940254388805
26,56,0.1603,140.0,0.0216,9691.9764,499.5843934,Altemus:1973,12061.14,1159.2359999999996,0.0,351.416,10550.487999999998,1510.652,0.8035705082604132
26,56,0.1603,140.0,0.03212,13244.7748,677.9953956,Altemus:1973,13544.335999999998,9667.475999999999,0.0,2743.2079999999996,1133.652,12410.684,0.9778829172578118
26,56,0.1603,140.0,0.04266,16574.2368,845.6748442,Altemus:1973,19807.32,14782.82,3.7959999999999994,4317.404,703.352,19103.968,0.8367733141081175
26,56,0.1603,140.0,0.05323,18697.4764,954.7148979,Altemus:1973,22748.596,17418.648,13.623999999999999,4976.14,340.1839999999999,22408.411999999997,0.8219178185765837
26,56,0.1603,140.0,0.06382,19583.6176,1003.192098,Altemus:1973,21748.428,17066.14,23.088,4604.08,55.12,21693.308,0.9004612931104722
26,56,0.1603,140.0,0.07449,18125.2412,936.9675897,Altemus:1973,17840.628,14238.432,54.33999999999999,3545.932,1.9239999999999997,17838.703999999998,1.0159530931310266
26,56,0.1603,140.0,0.08506,13760.404,732.2654444,Altemus:1973,12841.035999999998,10401.871999999998,95.88799999999999,2343.2760000000003,0.0,12841.035999999998,1.0715960924025134
26,56,0.1603,140.0,0.09565,10715.0012,608.7879151,Altemus:1973,8312.98,6762.339999999999,183.87199999999999,1366.82,0.0,8312.98,1.28894827125772
26,56,0.1754,160.0,0.01437,2973.94515,78.223,Altemus:1973,435.96799999999996,0.0,0.0,0.0,435.96799999999996,0.0,6.821475773451263
26,56,0.1754,160.0,0.02585,5694.41214,129.16,Altemus:1973,10438.116,2167.776,0.0,788.424,7481.915999999999,2956.1999999999994,0.5455402239254671
26,56,0.1754,160.0,0.03643,8030.32893,160.64,Altemus:1973,9268.739999999998,6559.592000000001,5.0440000000000005,2611.024,93.08,9175.66,0.8663884120171675
26,56,0.1754,160.0,0.04702,10498.401,192.31,Altemus:1973,13594.619999999995,9462.596,11.232,4028.1279999999997,92.612,13502.007999999998,0.7722467417257712
26,56,0.1754,160.0,0.05763,12255.9579,218.42,Altemus:1973,16201.12,11307.867999999999,19.136,4832.5160000000005,41.548,16159.519999999999,0.7564883106846934
26,56,0.1754,160.0,0.06855,12798.4806,262.96,Altemus:1973,16532.879999999997,11722.256,38.11599999999999,4768.347999999999,4.108,16528.771999999997,0.7741228751433509
26,56,0.1754,160.0,0.07929,12657.6594,250.16,Altemus:1973,14629.003999999999,10597.496,67.91199999999999,3963.4919999999997,0.104,14628.899999999998,0.8652441000084491
26,56,0.1754,160.0,0.08979,10896.4917,249.77,Altemus:1973,11474.215999999999,8506.627999999999,113.41199999999999,2854.124,0.0,11474.215999999999,0.949650215753303
26,56,0.1754,160.0,0.10031,8971.66449,251.18,Altemus:1973,8148.764000000001,6148.427999999999,183.09199999999996,1817.1919999999998,0.0,8148.764000000001,1.1009847002563822
26,56,0.1754,160.0,0.11102,7285.6917,258.15,Altemus:1973,5377.632,4000.0480000000002,316.8879999999999,1060.696,0.0,5377.632,1.3548141077708555
26,56,0.19,140.0,0.00653,1333.7316,48.61474493,Altemus:1973,49.971999999999994,0.0,0.0,0.0,49.971999999999994,0.0,26.689578163771717
26,56,0.19,140.0,0.01551,3915.8259,121.4043272,Altemus:1973,1809.652,0.0,0.0,0.0,1809.652,0.0,2.163855757902624
26,56,0.19,140.0,0.0292,7723.7052,235.7016086,Altemus:1973,6136.156,3856.788,0.0,1363.1799999999998,916.1879999999999,5219.968,1.258720475815804
26,56,0.19,140.0,0.04057,10724.892,328.8698976,Altemus:1973,11247.287999999999,7826.468,6.603999999999999,3110.2239999999993,304.096,10943.243999999999,0.9535536033219743
26,56,0.19,140.0,0.0511,12778.203,388.5649344,Altemus:1973,15350.972,10573.471999999998,13.623999999999999,4454.996,308.88,15042.092,0.8324035116473406
26,56,0.19,140.0,0.06167,14799.537,448.6479023,Altemus:1973,17568.824,12287.339999999998,23.296,5169.58,88.556,17480.268,0.8423749364214702
26,56,0.19,140.0,0.07227,15764.661,480.8574249,Altemus:1973,17744.843999999997,12634.387999999997,45.967999999999996,5058.767999999999,5.668000000000001,17739.124,0.888407979241745
26,56,0.19,140.0,0.08285,15418.728,478.5306701,Altemus:1973,15898.896,11558.508,81.848,4258.436,0.104,15898.792,0.9697986577181207
26,56,0.19,140.0,0.09351,13719.102,441.0358141,Altemus:1973,12732.823999999999,9474.764,135.72,3122.3399999999997,0.0,12732.823999999999,1.0774594858139876
26,56,0.19,140.0,0.10411,10478.766,364.4949354,Altemus:1973,9353.344,7087.183999999999,216.73600000000002,2049.424,0.0,9353.344,1.1203229561534356
26,56,0.2004,90.0,0.00662,23245.056,751.6475328,Altemus:1973,50463.34799999999,0.0,0.0,0.0,50463.34799999999,0.0,0.4606324574421817
26,56,0.2004,90.0,0.01907,35637.534,1148.090287,Altemus:1973,25108.147999999997,0.0,0.0,0.0,25108.147999999997,0.0,1.4193613164937535
26,56,0.2004,90.0,0.02962,40890.186,1311.421837,Altemus:1973,37453.98799999999,21580.363999999998,0.0,3517.124,12356.5,25097.487999999998,1.0917445159644952
26,56,0.2004,90.0,0.04019,46439.136,1435.94855,Altemus:1973,48779.74399999999,35543.71599999999,2.964,5983.068,7249.995999999999,41529.748,0.9520168043522329
26,56,0.2004,90.0,0.05111,50533.146,1614.037431,Altemus:1973,53984.475999999995,43252.611999999994,16.068,7248.852,3466.9439999999995,50517.532,0.936068102244801
26,56,0.2004,90.0,0.06146,52509.528,1681.870592,Altemus:1973,51210.53599999999,43424.108,29.119999999999994,7044.5960000000005,712.66,50497.876,1.0253657177109023
26,56,0.2004,90.0,0.07202,48038.508,1560.399618,Altemus:1973,43873.96,37935.56,73.164,5831.072,34.164,43839.795999999995,1.094920722907164
26,56,0.2004,90.0,0.08262,38085.444,1281.63414,Altemus:1973,34096.087999999996,29734.067999999996,132.756,4228.951999999999,0.364,34095.724,1.1170033348107269
26,56,0.2004,90.0,0.09322,29724.318,1064.445116,Altemus:1973,24574.471999999998,21540.428,260.832,2773.2119999999995,0.0,24574.471999999998,1.2095607995158555
26,56,0.2004,90.0,0.10382,20261.898,879.0214602,Altemus:1973,16872.492,14683.083999999997,472.62800000000004,1716.8319999999999,0.0,16872.492,1.2008835446477024
26,56,0.2004,90.0,0.11443,14484.618,993.6068924,Altemus:1973,11305.267999999998,9441.796,801.8399999999999,1061.58,0.0,11305.267999999998,1.2812273004054395
26,56,0.2008,160.0,0.00582,299.452671,23.948,Altemus:1973,0.052,0.0,0.0,0.0,0.052,0.0,5758.705211538462
26,56,0.2008,160.0,0.01486,1931.59746,55.627,Altemus:1973,70.72,0.0,0.0,0.0,70.72,0.0,27.3133125
26,56,0.2008,160.0,0.02596,3793.77729,93.176,Altemus:1973,5305.664,913.4319999999998,0.0,371.384,4020.8479999999995,1284.816,0.7150428843590548
26,56,0.2008,160.0,0.03618,5464.58472,116.21,Altemus:1973,5257.355999999999,3576.611999999999,3.9519999999999995,1627.912,48.931999999999995,5208.423999999999,1.0394169084231695
26,56,0.2008,160.0,0.04631,6954.58134,136.2,Altemus:1973,8387.808,5517.719999999999,10.347999999999999,2809.404,50.336,8337.524000000001,0.8291297726414337
26,56,0.2008,160.0,0.05638,8529.07068,156.84,Altemus:1973,11134.344,7183.383999999999,19.136,3895.788,35.984,11098.307999999999,0.7660146551965703
26,56,0.2008,160.0,0.06663,9778.9491,175.41,Altemus:1973,13038.272,8395.971999999998,30.835999999999995,4604.964,6.5,13031.771999999997,0.7500187985033598
26,56,0.2008,160.0,0.07706,10416.2553,190.06,Altemus:1973,13670.644,8912.383999999998,46.852000000000004,4711.148,0.25999999999999995,13670.383999999998,0.761943277873376
26,56,0.2008,160.0,0.08732,10290.78,199.19,Altemus:1973,12872.756,8575.112,84.29199999999999,4213.351999999999,0.0,12872.756,0.7994232159764391
26,56,0.2008,160.0,0.09759,9880.9542,206.55,Altemus:1973,10939.292,7496.371999999999,118.976,3323.944,0.0,10939.292,0.9032535377975102
