Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.1603,140.0,0.06382,19583.6176,1003.192098,Altemus:1973,0.0965,140.0000,0.0638,0.0609,0.9455,0.0546,23180.663999999997,18507.683999999997,13.78,4604.08,55.12,23125.543999999998,0.8448255666878224
26,56,0.1603,140.0,0.07449,18125.2412,936.9675897,Altemus:1973,0.0858,140.0000,0.0745,0.0716,0.9716,0.0486,18603.935999999998,15027.22,28.808,3545.932,1.9239999999999997,18601.96,0.9742691654067184
26,56,0.1603,140.0,0.08506,13760.404,732.2654444,Altemus:1973,0.0752,140.0000,0.0851,0.0821,0.9974,0.0426,13062.14,10653.968,64.89599999999999,2343.2760000000003,0.0,13062.087999999998,1.0534570904920635
26,56,0.1603,140.0,0.09565,10715.0012,608.7879151,Altemus:1973,0.0646,140.0000,0.0956,0.0927,1.0232,0.0366,8233.211999999998,6734.779999999999,131.61199999999997,1366.82,0.0,8233.211999999998,1.3014363288592596
26,56,0.1754,160.0,0.01437,2973.94515,78.223,Altemus:1973,0.1610,160.0000,0.0144,0.0105,0.7977,0.1096,435.96799999999996,0.0,0.0,0.0,435.96799999999996,0.0,6.821475773451263
26,56,0.1754,160.0,0.02585,5694.41214,129.16,Altemus:1973,0.1495,160.0000,0.0259,0.022,0.8271,0.1018,10570.663999999999,2300.324,0.0,788.424,7481.915999999999,3088.748,0.5386995689201739
26,56,0.1754,160.0,0.03643,8030.32893,160.64,Altemus:1973,0.1390,160.0000,0.0364,0.0326,0.8542,0.0946,9770.592,7066.487999999998,0.0,2611.024,93.08,9677.511999999999,0.8218876532762804
26,56,0.1754,160.0,0.04702,10498.401,192.31,Altemus:1973,0.1284,160.0000,0.0470,0.0432,0.8812,0.0874,14393.027999999998,10270.883999999998,1.404,4028.1279999999997,92.612,14300.415999999997,0.7294087804178524
26,56,0.1754,160.0,0.05763,12255.9579,218.42,Altemus:1973,0.1178,160.0000,0.0576,0.0538,0.9084,0.0801,17175.964,12293.684,8.216,4832.5160000000005,41.548,17134.363999999998,0.7135528404693908
26,56,0.1754,160.0,0.06855,12798.4806,262.96,Altemus:1973,0.1069,160.0000,0.0685,0.0647,0.9363,0.0727,17447.3,12655.76,19.031999999999996,4768.347999999999,4.108,17443.192,0.7335507843620503
26,56,0.1754,160.0,0.07929,12657.6594,250.16,Altemus:1973,0.0961,160.0000,0.0793,0.0755,0.9637,0.0654,15233.035999999998,11232.363999999998,37.07599999999999,3963.4919999999997,0.104,15232.932,0.8309347788582658
26,56,0.1754,160.0,0.08979,10896.4917,249.77,Altemus:1973,0.0856,160.0000,0.0898,0.086,0.9906,0.0583,11717.628,8784.828,78.62399999999998,2854.124,0.0,11717.628,0.9299229929470367
26,56,0.1754,160.0,0.10031,8971.66449,251.18,Altemus:1973,0.0751,160.0000,0.1003,0.0965,1.0175,0.0511,8124.272000000001,6175.467999999999,131.56,1817.1919999999998,0.0,8124.272000000001,1.1043038059287034
26,56,0.1754,160.0,0.11102,7285.6917,258.15,Altemus:1973,0.0644,160.0000,0.1110,0.1072,1.0449,0.0438,5234.891999999999,3911.1279999999997,263.068,1060.696,0.0,5234.891999999999,1.3917558757659187
26,56,0.19,140.0,0.00653,1333.7316,48.61474493,Altemus:1973,0.1835,140.0000,0.0065,0.0025,0.7695,0.1231,49.971999999999994,0.0,0.0,0.0,49.971999999999994,0.0,26.689578163771717
26,56,0.19,140.0,0.01551,3915.8259,121.4043272,Altemus:1973,0.1745,140.0000,0.0155,0.0114,0.7924,0.1171,1809.652,0.0,0.0,0.0,1809.652,0.0,2.163855757902624
