Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,ExA,nuA,Q2effA,qv2A,epsilonA
26,56,0.1503,90.0,0.05542,74843.0,1864.0,Altemus:1973,0.0089,0.15919999999999998,0.09487999999999999,0.10378,1.0198,0.0,0.04726346666666667,76324.89140000001,4077.576626848397,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.054988182407282316,4.433234524286382,1.1219362118521883,0.028520928,0.033043552000000004,0.0361149284,0.1900392812025977,0.951310849849,0.3138831769262515,0.000425834743850916,179235941.88153237,4377284.913728371,0.0011792636416784277,0.0011133374707554503,356.7182772183757,317.9488044418093,27226483.769087624,1454546.1095552759,69.92282570137867,3.7355530356265403,24267407.969780933,1296460.6135263133,62.32335222155285,3.329559199679962,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.054988182407282316,0.05542,0.033043552,0.036114928399999996,0.3138831769262515
26,56,0.1503,90.0,0.06156,61899.0,2017.3,Altemus:1973,0.0089,0.15919999999999998,0.08873999999999999,0.09763999999999999,1.0198,0.0,0.0479184,63124.6002,3658.1200694882314,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.061128182407282315,4.433234524286382,1.1219362118521883,0.026675244,0.031088576,0.0348782096,0.18675708714798483,0.964787818289,0.3082808020204061,0.000502612870686774,125592884.46741539,4013625.8294451274,0.0011792636416784275,0.00111333747075545,369.15643543304316,329.0351372326312,23302852.397967964,1350418.5652383517,59.84618874722471,3.468133555618202,20770211.48956198,1203650.0390775027,53.341881753175166,3.0912038661206154,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.061128182407282315,0.06156,0.031088575999999996,0.034878209599999994,0.3082808020204061
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,0.0089,0.15919999999999998,0.08257999999999999,0.09147999999999999,1.0198,0.0,0.048575466666666664,51034.8712,3425.442865245154,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.06728818240728232,4.433234524286382,1.1219362118521883,0.024823548,0.029127232,0.0337132304,0.18361162926132973,0.978308685649,0.3016687519174824,0.0005775802346678601,88359795.11893757,4013295.2287277896,0.0011792636416784277,0.0011133374707554503,384.4942863231692,342.7060132843142,19622616.379638862,1317063.2098132272,50.394637682752276,3.382470613485125,17489957.247430466,1173919.868081365,44.91756050868213,3.014851092025146,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.06728818240728232,0.06772,0.029127231999999996,0.033713230399999995,0.3016687519174824
26,56,0.1503,90.0,0.078,38559.0,3360.6,Altemus:1973,0.0089,0.15919999999999998,0.07229999999999999,0.0812,1.0198,0.0,0.049672,39322.4682,3944.6645179940415,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.07756818240728232,4.433234524286382,1.1219362118521883,0.02173338,0.02585408,0.03193808,0.17871228273400797,1.000872730529,0.2881311807479842,0.0006971159283522827,56407358.66263074,4820718.998550474,0.0011792636416784272,0.0011133374707554499,418.3183809278433,372.85397913776893,16449311.231510606,1650125.6744707788,42.2449821983454,4.237838822668385,14661538.737888383,1470783.8618976476,37.65363997709261,3.777254694072311,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.07756818240728232,0.078,0.025854079999999998,0.03193808,0.2881311807479842
26,56,0.1503,90.0,0.08825,29398.0,5352.4,Altemus:1973,0.0089,0.15919999999999998,0.062049999999999994,0.07095,1.0198,0.0,0.05076533333333333,29980.080400000003,5666.587440793433,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.08781818240728231,4.433234524286382,1.1219362118521883,0.01865223,0.02259048,0.030378542499999998,0.174294413278223,1.023370927029,0.2710394718789926,0.0008078581631356554,37110574.31620673,6625420.456513015,0.001179263641678428,0.0011133374707554505,466.3078734491556,415.6277946313317,13979947.53715871,2642374.3392300787,35.90318321108432,6.786123464446614,12460554.699522015,2355191.2411025767,32.001091355998106,6.048582256956927,"[0.158,0.186]",0.167,"[0.015,0.025]",0.02,0.08781818240728231,0.08825,0.022590479999999996,0.030378542499999994,0.2710394718789925
26,56,0.2004,90.0,0.00166,11264.634,654.3869899,Altemus:1973,0.0089,0.20929999999999999,0.19874,0.20764,1.0785,0.0,0.037,12148.907769,836.750214246592,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0007669412366465567,0.0008930587633534433,4.433234524286382,1.090794707989211,0.07965499200000001,0.08691810400000001,0.08692085960000001,0.29482343800993843,0.7965531848890001,0.33332628828074773,-0.00029528403473463486,-41143124.381641395,-2216127.229797855,0.0006633357984441157,0.000635128972805546,548.1591776395591,502.53193715070796,6659535.29187389,458672.30933113676,17.102962300059147,1.1779583515600134,6105214.155420856,420493.7060766098,15.679359438392428,1.079908385081443,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093,0.04,0.04076694123664656,0.07054793839833975,0.07220988189613195,0.3281792459026594
26,56,0.2004,90.0,0.00662,23245.056,751.6475328,Altemus:1973,0.0089,0.20929999999999999,0.19378,0.20268,1.0785,0.0,0.037,25069.792896000003,1231.8950592503325,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0007669412366465567,0.005853058763353443,4.433234524286382,1.090794707989211,0.07766702400000002,0.08484184800000001,0.08488567240000001,0.2913514585513517,0.807937109049,0.3332185856788801,-0.0002551310133218455,-98262428.2700382,-2946123.7307586884,0.0006633357984441154,0.0006351289728055459,548.5135373346171,502.85680093347355,13751120.781631216,675711.1165744376,35.31551226986909,1.735355583535261,12606515.855747283,619466.808580374,32.37594756484498,1.5909094267006887,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093,0.04,0.04076694123664656,0.07054793839833975,0.07220988189613195,0.3281792459026594
26,56,0.2004,90.0,0.01907,35637.534,1148.090287,Altemus:1973,0.0089,0.20929999999999999,0.18133,0.19022999999999998,1.0785,0.0,0.03804213333333333,38435.080419,1916.0028998913742,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0007669412366465567,0.018303058763353443,4.433234524286382,1.090794707989211,0.07267706400000001,0.079630278,0.0799939429,0.2828320047307235,0.8365116767490001,0.3323215433136543,-0.00015425588705383312,-249164431.60180137,-7442764.804168108,0.0006633357984441154,0.0006351289728055459,551.4749960814913,505.5717561172344,21195985.823459826,1056627.6917097217,54.43535180203478,2.7136223151427825,19431691.103940956,968676.9508237956,49.90430500197586,2.4877479651007093,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093,0.04,0.04076694123664655,0.07054793839833977,0.07220988189613196,0.3281792459026594
26,56,0.2004,90.0,0.02962,40890.186,1311.421837,Altemus:1973,0.0089,0.20929999999999999,0.17078,0.17967999999999998,1.0785,0.0,0.03916746666666667,44100.065601,2232.4787637363524,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0007669412366465567,0.028853058763353444,4.433234524286382,1.090794707989211,0.06844862400000001,0.075214048,0.0760913924,0.2758466827786769,0.8607254670490001,0.33076119431334494,-6.890479323083496e-05,-640014482.7844166,-19032374.607186798,0.0006633357984441154,0.0006351289728055459,556.6693051954363,510.3337054335455,24549152.87718183,1242752.402272682,63.04692711354135,3.1916262250780663,22505749.88802077,1139309.1597992736,57.79907681232071,2.9259641632856495,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093,0.04,0.04076694123664656,0.07054793839833975,0.07220988189613195,0.3281792459026594
26,56,0.2004,90.0,0.04019,46439.136,1435.94855,Altemus:1973,0.0089,0.20929999999999999,0.16021,0.16910999999999998,1.0785,0.0,0.04029493333333334,50084.608176,2543.8816365004145,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0007669412366465567,0.03942305876335344,4.433234524286382,1.090794707989211,0.06421216800000001,0.070789446,0.0724046821,0.26908118124461994,0.884985160269,0.3283387600067563,1.6189170180452894e-05,3093710648.3983407,88698094.71357532,0.0006633357984441154,0.0006351289728055459,564.8433439061997,517.8273599689911,28289957.56036363,1436894.6100624697,72.65403011161561,3.69022060368743,25935180.426859427,1317291.5119026063,66.60651136229589,3.3830569369831687,"[0.223,0.270]",0.24,"[0.070,0.100]",0.093,0.04,0.04076694123664656,0.07054793839833975,0.07220988189613195,0.3281792459026594
