XSCode_nu,XSCode_RT,XSCode_RTerr,,Bianchi_nu,Bianchi_RT,Bianchi_RTerr,,Morejon_nu,Morejon_cross,Morejon_RT,Morejon_RTerr
,,,,,,,,0.42573,17.81732?,0.135205661,0.006760283
,,,,,,,,0.43807,17.10174?,0.133537134,0.006676857
,,,,,,,,0.45076,16.39446?,0.131722731,0.006586137
,,,,,,,,0.46617,15.51993?,0.128959197,0.00644796
,,,,,,,,0.47908,14.83077?,0.126645563,0.006332278
,,,,,,,,0.49422,14.20295?,0.125117228,0.006255861
,,,,,,,,0.51308,13.52732?,0.123712929,0.006185646
,,,,,,,,0.53299,12.91438?,0.122690479,0.006134524
,,,,,,,,0.55506,12.36132?,0.122299032,0.006114952
,,,,,,,,0.58108,11.83499?,0.12258069,0.006129035
,,,,,,,,0.61482,11.37978?,0.124709659,0.006235483
,,,,,,,,0.64398,10.9494,0.125684274,0.006284214
,,,,,,,,0.68434,10.5673,0.128900381,0.006445019
,,,,,,,,0.72661,10.15541?,0.131527653,0.006576383
,,,,,,,,0.76972,9.84895,0.135126629,0.006756331
,,,,,,,,0.80396,9.50743,0.136243508,0.006812175
,,,,,,,,0.8466,9.28888,0.140171544,0.007008577
,,,,,,,,0.87003,9.07324,0.140706729,0.007035336
,,,,,,,,0.92059,8.83881,0.145036827,0.007251841
,,,,,,,,0.97843,8.54229,0.148978059,0.007448903
,,,,,,,,1.03991,8.25379,0.152991538,0.007649577
,,,,,,,,1.10524,8.05558,0.158698071,0.007934904
,,,,,,,,1.17469,7.96571,0.166788462,0.008339423
,,,,,,,,1.24849,7.80538,0.173699016,0.008684951
,,,,,,,,1.32693,7.6126?,0.180052545,0.009002627
,,,,,,,,1.4103,7.54?,0.189540094,0.009477005
,,,,,,,,1.49891,7.45937,0.19929479,0.00996474
,,,,,,,,1.59309,7.25476,0.206006821,0.010300341
,,,,,,,,1.67526,6.9736?,0.208236805,0.01041184
,,,,,,,,1.76265,6.80389,0.213767466,0.010688373
,,,,,,,,1.87655,6.62427,0.22157278,0.011078639
,,,,,,,,1.99445,6.48942,0.230699831,0.011534992
,,,,,,,,2.11976,6.36623,0.240539973,0.012026999
,,,,,,,,2.25295,6.25707,0.251270097,0.012563505
,,,,,,,,2.3945,6.16418,0.263092455,0.013154623
,,,,,,,,2.54495,6.07976,0.275793439,0.013789672
,,,,,,,,2.70484,6.01053,0.28978279,0.01448914
,,,,,,,,2.87479,5.94903,0.304838997,0.01524195
,,,,,,,,3.05541,5.89368,0.320977276,0.016048864
