E0,Ep,theta,Q2,xs,err,f1f221,ratio,,dataSet
0.3488,0.2925,90,0.7821,6.78E+03,8.61E+01,5.55E+03,1.22048,,Altemus-1973
0.3488,0.2632,90,0.8575,1.24E+04,2.57E+01,1.24E+04,1.00639,,Altemus-1973
0.3488,0.2521,90,0.886,1.31E+04,2.18E+01,1.40E+04,0.93115,,Altemus-1973
0.3488,0.2466,90,0.9002,1.34E+04,2.17E+02,1.46E+04,0.92095,,Altemus-1973
0.3488,0.2365,90,0.9263,1.38E+04,2.30E+02,1.51E+04,0.91908,,Altemus-1973
0.3488,0.2263,90,0.9524,1.36E+04,2.54E+02,1.50E+04,0.90828,,Altemus-1973
0.3488,0.2162,90,0.9785,1.31E+04,2.79E+02,1.45E+04,0.90615,,Altemus-1973
0.3488,0.206,90,1.0047,1.24E+04,3.04E+02,1.36E+04,0.90905,,Altemus-1973
0.3488,0.1957,90,1.0311,1.14E+04,2.53E+02,1.27E+04,0.90419,,Altemus-1973
0.3488,0.1855,90,1.0574,9.23E+03,2.02E+02,1.16E+04,0.79392,,Altemus-1973
0.3488,0.1753,90,1.0836,8.05E+03,2.01E+02,1.06E+04,0.75875,,Altemus-1973
0.3488,0.1651,90,1.1101,7.70E+03,2.00E+02,9.66E+03,0.79722,,Altemus-1973
0.3488,0.1547,90,1.1367,7.20E+03,2.00E+02,8.82E+03,0.81568,,Altemus-1973
0.3488,0.1444,90,1.1633,6.96E+03,2.49E+02,8.14E+03,0.85555,,Altemus-1973
0.3488,0.1342,90,1.1895,7.41E+03,3.72E+02,7.66E+03,0.96741,,Altemus-1973
0.3488,0.1238,90,1.2163,8.18E+03,2.48E+03,7.38E+03,1.10784,,Altemus-1973
0.3488,0.1135,90,1.2427,8.85E+03,3.00E+02,7.35E+03,1.20362,,Altemus-1973
0.3488,0.1033,90,1.2691,9.81E+03,3.79E+02,7.56E+03,1.29829,,Altemus-1973
0.3488,0.093,90,1.2955,1.11E+04,6.32E+02,7.98E+03,1.38557,,Altemus-1973
0.3488,0.0827,90,1.3221,1.12E+04,8.28E+02,8.59E+03,1.29837,,Altemus-1973
0.3488,0.0754,90,1.3408,1.23E+04,1.21E+03,9.09E+03,1.35285,,Altemus-1973
0.3488,0.0683,90,1.3591,1.33E+04,1.83E+03,9.60E+03,1.3805,,Altemus-1973
0.36,0.285,140,0.6589,5.36E+02,1.81E+01,3.17E+02,1.69304,,Meziani-1984is
