qv,q2,ex,nu,W2,RLTOT,RTTOT
2.783,7.72099,0.08123,0.15524,-6.549318776430999,-143082193381.08936,11897390514.27868
2.783,7.72068,0.08223,0.15624,-6.547132230431,-142829146017.2425,11876305480.427664
2.783,7.72037,0.08324,0.15724,-6.544945684431,-142576490092.73126,11855253131.565044
2.783,7.72005,0.08424,0.15824,-6.542749138431,-142323072271.3513,11834137367.179699
2.783,7.71973,0.08524,0.15924,-6.540552592431,-142070048428.96246,11813054499.657919
2.783,7.71941,0.08625,0.16024,-6.538356046431,-141817418040.75726,11792004485.08622
2.783,7.71909,0.08725,0.16124,-6.536159500430999,-141565180582.51074,11770987279.599995
2.783,7.71877,0.08825,0.16224,-6.533962954431,-141313335530.5798,11750002839.383425
2.783,7.71844,0.08926,0.16324,-6.531756408431001,-141060738490.97784,11728955810.586418
2.783,7.71811,0.09026,0.16424,-6.529549862431001,-140808536381.2809,11707941757.58806
2.783,7.71779,0.09126,0.16524,-6.527353316431,-140557868968.51962,11687055647.712446
2.783,7.71745,0.09226,0.16624,-6.525136770431001,-140305314835.9637,11666012401.962626
2.783,7.71712,0.09327,0.16724,-6.522930224431001,-140054294343.99948,11645097010.946941
2.783,7.71678,0.09427,0.16824,-6.520713678431,-139802531725.5301,11624119854.26662
2.783,7.71645,0.09527,0.16924,-6.518507132431,-139552298117.9501,11603270165.567015
2.783,7.71611,0.09628,0.17024,-6.5162905864309995,-139301324887.62662,11582358920.0711
2.783,7.71577,0.09728,0.17124,-6.514074040431,-139050746445.58496,11561480637.892452
2.783,7.71542,0.09828,0.17224,-6.511847494431,-138799434440.3769,11540541304.68072
2.783,7.71508,0.09929,0.17324,-6.509630948431001,-138549645754.29605,11519728963.832542
2.783,7.71473,0.10029,0.17424,-6.507404402431,-138299125996.0381,11498855779.748896
2.783,7.71438,0.10129,0.17524,-6.5051778564310005,-138049002447.43967,11478015677.282883
2.783,7.71403,0.1023,0.17624,-6.502951310431,-137799274571.59366,11457208611.5103
2.783,7.71368,0.1033,0.17724,-6.500724764431,-137549941832.19946,11436434537.557816
2.783,7.71332,0.1043,0.17824,-6.498488218431,-137299886536.62132,11415600331.032532
2.783,7.71296,0.10531,0.17924,-6.496251672431,-137050228851.93912,11394799322.738852
2.783,7.7126,0.10631,0.18024,-6.494015126431,-136800968236.43742,11374031467.350697
2.783,7.71224,0.10731,0.18124,-6.491778580431,-136552104149.01543,11353296719.593521
2.783,7.71188,0.10832,0.18224,-6.4895420344309995,-136303636049.18637,11332595034.244278
2.783,7.71151,0.10932,0.18324,-6.487295488431,-136054455106.77118,11311834026.868876
2.783,7.71115,0.11033,0.18424,-6.4850589424309995,-135806779127.61983,11291198478.195219
2.783,7.71078,0.11133,0.18524,-6.482812396430999,-135558392760.0282,11270503812.207035
2.783,7.7104,0.11233,0.18624,-6.480555850431,-135309300768.57564,11249750426.615131
2.783,7.71003,0.11334,0.18724,-6.478309304431,-135061710334.60173,11229122215.076488
2.783,7.70966,0.11434,0.18824,-6.476062758431,-134814516166.10013,11208527088.568834
2.783,7.70928,0.11534,0.18924,-6.473806212431,-134566620035.0939,11187873547.86068
2.783,7.7089,0.11635,0.19024,-6.471549666431,-134319122606.85674,11167253295.48371
2.783,7.70852,0.11735,0.19124,-6.469293120431,-134072023331.94962,11146666285.466831
2.783,7.70813,0.11835,0.19224,-6.467026574430999,-133824229274.47754,11126021460.420362
2.783,7.70775,0.11936,0.19324,-6.4647700284309995,-133577926418.79271,11105500944.228405
2.783,7.70736,0.12036,0.19424,-6.462503482431,-133330931204.45564,11084922815.185333
2.783,7.70697,0.12137,0.19524,-6.460236936431,-133084335464.33441,11064378038.392096
2.783,7.70658,0.12237,0.19624,-6.457970390431,-132838138644.84995,11043866567.531769
2.783,7.70619,0.12337,0.19724,-6.455703844431,-132592340193.06248,11023388356.341043
2.783,7.70579,0.12438,0.19824,-6.453427298431,-132345857729.80133,11002853228.812513
