Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center
6,12,0.25,50.0,0.0357,96800.0,4840.0,16,0.0031,0.2531,0.2143,0.21739999999999998,0.95853,0.025582,0.0,92785.704,5258.822594090127,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03371852165796179,2.894010933453939,1.0249537599999998,0.038275307622087314,0.03931046626372888,0.040584956263728884,0.20145708293264072,0.9090736071069128,0.9080384484652712,0.690138196964338,0.00038943481860300176,238257340.04176894,12428267.244727287,0.005487534231084144,0.005420322235365611,137.3968797085359,134.05178367123207,12748466.211159818,722545.8153687317,32.740503268913855,1.8556360614825511,12438089.120390972,704954.5487483571,31.943395445384635,1.810458319097782,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0359,98700.0,4935.0,16,0.0031,0.2531,0.2141,0.2172,0.95853,0.025582,0.0,94606.911,5362.043285503052,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03391852165796179,2.894010933453939,1.0249537599999998,0.03823958638305597,0.03927430208133355,0.04056311208133355,0.2014028601617503,0.909484637545944,0.9084499218476665,0.6900564995362999,0.0003951192687275854,239438869.44482738,12489899.60902775,0.0054875342310841445,0.0054203222353656115,137.4856160523351,134.1383596195941,13007089.441643437,737203.8244066741,33.40469726549469,1.893280636514049,12690415.850216933,719255.6905266383,32.591418822147354,1.8471863906465884,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0361,99900.0,4995.0,16,0.0031,0.2531,0.2139,0.217,0.95853,0.025582,0.0,95757.147,5427.235301132268,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03411852165796179,2.894010933453939,1.0249537599999998,0.03820386514402462,0.039238137898938215,0.040541347898938214,0.20134882144909172,0.9098956679849755,0.9088613952300618,0.6899742488003929,0.00040080000761928903,238915032.88332662,12462574.613383338,0.005487534231084144,0.005420322235365611,137.57499390544362,134.2255614589322,13173788.914927669,746651.8634766802,33.83281344508741,1.9175450106695513,12853056.819780504,728473.7054642156,33.00911198675676,1.8708600187676288,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0363,99000.0,4950.0,16,0.0031,0.2531,0.2137,0.2168,0.95853,0.025582,0.0,94894.47,5378.341289410357,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03431852165796179,2.894010933453939,1.0249537599999998,0.038168143904993276,0.039201973716542875,0.04051966371654288,0.2012949669428992,0.9103066984240068,0.9092728686124572,0.6898914435747777,0.00040647700627462967,233455936.09269518,12177810.610658778,0.0054875342310841445,0.0054203222353656115,137.665015388375,134.31339125813346,13063648.67282169,740409.4363706093,33.54995220539152,1.901513262089996,12745598.077343209,722383.2579243473,32.73313735186603,1.8552185828266015,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0365,93500.0,4675.0,16,0.0031,0.2531,0.2135,0.2166,0.95853,0.025582,0.0,89622.555,5079.5445511097805,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.034518521657961786,2.894010933453939,1.0249537599999998,0.03813242266596193,0.03916580953414754,0.04049805953414754,0.20124129679106012,0.910717728863038,0.9096843419948525,0.6898080826758561,0.0004121502356722228,217451179.7956984,11342951.175012698,0.005487534231084144,0.005420322235365611,137.7556826320486,134.40185109623738,12346016.24325332,699736.1270980308,31.706934659830313,1.7970564126824426,12045437.291974343,682700.1903949607,30.93499033539846,1.7533048639018047,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0367,90800.0,4540.0,16,0.0031,0.2531,0.2133,0.21639999999999998,0.95853,0.025582,0.0,87034.524,4932.862515944044,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03471852165796179,2.894010933453939,1.0249537599999998,0.03809670142693058,0.03912964535175221,0.04047653535175221,0.20118781114111314,0.9111287593020695,0.9100958153772478,0.6897241649182706,0.00041781966677330664,208306431.98808947,10865931.790767604,0.0054875342310841445,0.0054203222353656115,137.84699777784576,134.49094306249071,11997447.836423865,679980.2882737573,30.811744220901296,1.7463196342423786,11705355.211754981,663425.3317669252,30.061594408806595,1.7038033347400752,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0369,89900.0,4495.0,16,0.0031,0.2531,0.2131,0.2162,0.95853,0.025582,0.0,86171.847,4883.968504222132,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03491852165796179,2.894010933453939,1.0249537599999998,0.03806098018789924,0.039093481169356875,0.040455091169356874,0.2011345101402464,0.9115397897411007,0.9105072887596432,0.6896396891149055,0.00042348527052227226,203482512.84803063,10614300.692103045,0.005487534231084144,0.005420322235365611,137.9389629776662,134.58066925640256,11886455.213050114,673689.5506879843,30.526693902831465,1.7301638150968108,11597064.840320325,657287.7499254058,29.78348399134754,1.688040848883574,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0371,91600.0,4580.0,16,0.0031,0.2531,0.2129,0.216,0.95853,0.025582,0.0,87801.348,4976.323859696855,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03511852165796179,2.894010933453939,1.0249537599999998,0.03802525894886789,0.03905731698696154,0.04043372698696154,0.20108139393529562,0.9119508201801322,0.9109187621420385,0.6895546540768862,0.00042914701784719074,204595032.35150993,10672333.278640728,0.005487534231084143,0.00542032223536561,138.03158039398548,134.67103178780036,12119358.825162295,686889.8469062545,31.12483499270042,1.7640647043745012,11824298.127519721,670166.6686956246,30.367062600658617,1.7211163793130546,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0373,91700.0,4585.0,16,0.0031,0.2531,0.2127,0.2158,0.95853,0.025582,0.0,87897.201,4981.756527665957,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03531852165796179,2.894010933453939,1.0249537599999998,0.03798953770983655,0.0390211528045662,0.0404124428045662,0.20102846267274244,0.9123618506191634,0.9113302355244338,0.6894690586135803,0.00043480487966034853,202153207.36202785,10544959.853214184,0.0054875342310841445,0.0054203222353656115,138.12485219991157,134.76203277688506,12140787.896910919,688104.384079805,31.179868953807166,1.7671838684874388,11845205.482158454,671351.6364677808,30.420756692289388,1.7241596035390307,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
6,12,0.25,50.0,0.0375,94500.0,4725.0,16,0.0031,0.2531,0.2125,0.21559999999999999,0.95853,0.025582,0.0,90581.085,5133.871230800795,0.8726646259971648,0.17860619515673035,0.8213938048432696,0.21744283205399903,0.001981478342038212,0.03551852165796179,2.894010933453939,1.0249537599999998,0.037953816470805195,0.03898498862217087,0.040391238622170866,0.20097571649871251,0.9127728810581949,0.9117417089068292,0.6893829015325972,0.0004404588268587789,205651651.1338808,10727449.90422213,0.005487534231084144,0.005420322235365611,138.21878057924343,134.8536743542884,12520007.1122448,709597.4211721455,32.1537765403061,1.8223821048497597,12215192.139248118,692321.3991352601,31.370953300669978,1.778013970942221,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
