Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,system_err,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,Ep,R,Veff,Eeff,Ep_eff,F2foc,Q2,Q2eff,qv,W2,RT,RTerr,qvbin,qvcenter,Q2bin,Q2center
26,56,0.1546,180,0.1055,6810,579.5698836,Hotta:1984,1,0,6810,0.05,579.5698836,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.104589009,0.0491,4.433234524,0.0089,0.1635,0.058,1.1184499,0.03036344,0.037932,0.2215,1.040399826,31.38301254,2.670873557,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04
26,56,0.1546,180,0.1154,6170,877.0480318,Hotta:1984,1,0,6170,0.05,877.0480318,3.141592654,1,3.75E-33,2.67E+32,0.000910991,0.114489009,0.0392,4.433234524,0.0089,0.1635,0.0481,1.1184499,0.02424128,0.0314574,0.2116,1.065452231,28.43365453,4.041763492,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026
26,56,0.1737,180,0.0061,514,38.7490645,Hotta:1984,1,0,514,0.05,38.7490645,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.004950844,0.1676,4.433234524,0.0089,0.1826,0.1765,1.105100841,0.11644848,0.1289156,0.3591,0.762887553,2.990138433,0.225418418,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.1737,180,0.0161,3850,210.4311051,Hotta:1984,1,0,3850,0.05,210.4311051,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.014950844,0.1576,4.433234524,0.0089,0.1826,0.1665,1.105100841,0.10950048,0.1216116,0.3491,0.788957013,22.3969513,1.224159796,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
26,56,0.1737,180,0.026,5940,320.7023542,Hotta:1984,1,0,5940,0.05,320.7023542,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.024850844,0.1477,4.433234524,0.0089,0.1826,0.1566,1.105100841,0.10262196,0.11438064,0.3392,0.814765779,34.55529629,1.865650652,"[0.270,0.340]",0.3,"[0.100,0.145]",0.12
26,56,0.1737,180,0.036,8660,452.3825815,Hotta:1984,1,0,8660,0.05,452.3825815,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.034850844,0.1377,4.433234524,0.0089,0.1826,0.1466,1.105100841,0.09567396,0.10707664,0.3292,0.840835239,50.37859695,2.631685882,"[0.270,0.340]",0.3,"[0.100,0.145]",0.12
26,56,0.1737,180,0.0459,10500,550.3180898,Hotta:1984,1,0,10500,0.05,550.3180898,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.044750844,0.1278,4.433234524,0.0089,0.1826,0.1367,1.105100841,0.08879544,0.09984568,0.3193,0.866644004,61.08259446,3.201414924,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1737,180,0.0558,12300,635.9787732,Hotta:1984,1,0,12300,0.05,635.9787732,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.054650844,0.1179,4.433234524,0.0089,0.1826,0.1268,1.105100841,0.08191692,0.09261472,0.3094,0.892452769,71.55389636,3.699736523,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1737,180,0.0658,13200,683.3220324,Hotta:1984,1,0,13200,0.05,683.3220324,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.064650844,0.1079,4.433234524,0.0089,0.1826,0.1168,1.105100841,0.07496892,0.08531072,0.2994,0.918522229,76.78954731,3.975150723,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1737,180,0.0757,13300,691.0636729,Hotta:1984,1,0,13300,0.05,691.0636729,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.074550844,0.098,4.433234524,0.0089,0.1826,0.1069,1.105100841,0.0680904,0.07807976,0.2895,0.944330995,77.37128631,4.020186864,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1737,180,0.0857,12500,654.120784,Hotta:1984,1,0,12500,0.05,654.120784,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.084550844,0.088,4.433234524,0.0089,0.1826,0.0969,1.105100841,0.0611424,0.07077576,0.2795,0.970400455,72.71737435,3.805275673,"[0.270,0.340]",0.3,"[0.070,0.100]",0.093
26,56,0.1737,180,0.0956,9820,525.0495215,Hotta:1984,1,0,9820,0.05,525.0495215,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.094450844,0.0781,4.433234524,0.0089,0.1826,0.087,1.105100841,0.05426388,0.0635448,0.2696,0.99620922,57.12676929,3.054417808,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1737,180,0.1055,8010,441.1635184,Hotta:1984,1,0,8010,0.05,441.1635184,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.104350844,0.0682,4.433234524,0.0089,0.1826,0.0771,1.105100841,0.04738536,0.05631384,0.2597,1.022017986,46.59729348,2.566420218,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1737,180,0.1155,6910,395.7515003,Hotta:1984,1,0,6910,0.05,395.7515003,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.114350844,0.0582,4.433234524,0.0089,0.1826,0.0671,1.105100841,0.04043736,0.04900984,0.2497,1.048087446,40.19816454,2.3022408,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056
26,56,0.1737,180,0.1254,6650,434.0475204,Hotta:1984,1,0,6650,0.05,434.0475204,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.124250844,0.0483,4.433234524,0.0089,0.1826,0.0572,1.105100841,0.03355884,0.04177888,0.2398,1.073896211,38.68564315,2.525023682,"[0.223,0.270]",0.24,"[0.035,0.045]",0.04
26,56,0.1737,180,0.1353,8580,500.6046344,Hotta:1984,1,0,8580,0.05,500.6046344,3.141592654,1,3.75E-33,2.67E+32,0.001149156,0.134150844,0.0384,4.433234524,0.0089,0.1826,0.0473,1.105100841,0.02668032,0.03454792,0.2299,1.099704976,49.91320575,2.912212368,"[0.223,0.270]",0.24,"[0.025,0.035]",0.026
26,56,0.1922,180,0.0064,331,31.6686359,Hotta:1984,1,0,331,0.05,31.6686359,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.004994017,0.1858,4.433234524,0.0089,0.2011,0.1947,1.094756102,0.14284304,0.15661668,0.3958,0.735749437,2.35756296,0.225561338,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.1922,180,0.0163,3010,168.1524606,Hotta:1984,1,0,3010,0.05,168.1524606,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.014894017,0.1759,4.433234524,0.0089,0.2011,0.1848,1.094756102,0.13523192,0.14865312,0.3859,0.762290802,21.43886559,1.197673755,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16
26,56,0.1922,180,0.0262,4580,249.0883377,Hotta:1984,1,0,4580,0.05,249.0883377,3.141592654,1,3.75E-33,2.67E+32,0.001405983,0.024794017,0.166,4.433234524,0.0089,0.2011,0.1749,1.094756102,0.1276208,0.14068956,0.376,0.788832168,32.62126392,1.77414332,"[0.340,0.428]",0.38,"[0.100,0.145]",0.12
