Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ratio,ratio_error
26,56,0.1003,140,0.04105,33121.55221,662.4310442,Altemus:1973,1.374784603,0.032510554
26,56,0.1305,140,0.00314,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.1305,140,0.0062,3549.936118,70.99872236,Altemus:1973,0.282117753,0.032220298
26,56,0.1305,140,0.00886,8077.028209,161.5405642,Altemus:1973,1.180743679,0.019299177
26,56,0.1305,140,0.01239,13933.31824,278.6663648,Altemus:1973,0.785311855,0.008360535
26,56,0.1305,140,0.02354,28280.42317,565.6084634,Altemus:1973,0.636765578,0.006487173
26,56,0.1305,140,0.02879,31592.59935,631.8519869,Altemus:1973,0.634230814,0.006364149
26,56,0.1305,140,0.03406,32459.82959,649.1965917,Altemus:1973,0.677791605,0.00675327
26,56,0.1305,140,0.04172,31243.93575,624.878715,Altemus:1973,0.786072542,0.009097125
26,56,0.1305,140,0.04463,30116.44587,602.3289174,Altemus:1973,0.864311815,0.009946061
26,56,0.1305,140,0.04992,27129.46431,542.5892862,Altemus:1973,0.975728813,0.011826625
26,56,0.1305,140,0.0552,23318.17053,466.3634106,Altemus:1973,1.126846549,0.014708272
26,56,0.1305,140,0.06051,20256.48662,405.1297324,Altemus:1973,1.097919912,0.017263112
26,56,0.1305,140,0.0658,16162.09724,323.2419449,Altemus:1973,1.238205642,0.02364359
26,56,0.1305,140,0.07109,12250.11391,245.0022783,Altemus:1973,1.331089663,0.035084572
26,56,0.1603,140,0.00516,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.1603,140,0.01117,3452.964316,69.05928631,Altemus:1973,1.385765841,0.025584394
26,56,0.1603,140,0.0216,12180.27081,243.6054162,Altemus:1973,0.773135519,0.010709121
26,56,0.1603,140,0.03212,18859.87129,377.1974259,Altemus:1973,0.682348241,0.008501649
26,56,0.1603,140,0.04266,22668.72093,453.3744187,Altemus:1973,0.710406205,0.008352919
26,56,0.1603,140,0.05323,23107.20906,462.1441811,Altemus:1973,0.786204857,0.009371967
26,56,0.1603,140,0.06382,20135.62229,402.7124459,Altemus:1973,0.944991902,0.011914705
26,56,0.1603,140,0.07449,15094.75827,301.8951655,Altemus:1973,1.166696391,0.016791259
26,56,0.1603,140,0.08506,11185.10675,223.702135,Altemus:1973,1.195339508,0.022891154
26,56,0.1603,140,0.09565,6899.224609,137.9844922,Altemus:1973,1.509010156,0.041681496
26,56,0.19,140,0.00653,0,0,Altemus:1973,#DIV/0!,#DIV/0!
26,56,0.19,140,0.01551,2200.944624,44.01889249,Altemus:1973,1.836075272,0.027168335
26,56,0.19,140,0.0292,8090.367015,161.8073403,Altemus:1973,0.985221064,0.013544503
26,56,0.19,140,0.04057,12785.92413,255.7184826,Altemus:1973,0.865639424,0.012181364
26,56,0.19,140,0.0511,16509.7706,330.1954119,Altemus:1973,0.798739142,0.010787551
26,56,0.19,140,0.06167,17914.2279,358.2845581,Altemus:1973,0.85256256,0.011334008
26,56,0.19,140,0.07227,16461.52467,329.2304934,Altemus:1973,0.988304566,0.013555245
26,56,0.19,140,0.08285,13861.07605,277.221521,Altemus:1973,1.147962823,0.01706361
26,56,0.19,140,0.09351,11552.57362,231.0514724,Altemus:1973,1.225527788,0.020913089
26,56,0.19,140,0.10411,8304.571988,166.0914398,Altemus:1973,1.302174274,0.028160392
26,56,0.19,140,0.11472,5593.351288,111.8670258,Altemus:1973,1.49522166,0.042427158
26,56,0.19,140,0.12532,3778.481844,75.56963688,Altemus:1973,2.016418317,0.074334087
