q_0.1_x,q_0.1_RL_1b,q_0.1_RT_1b,q_0.1_RL_1b2b,q_0.1_RT_1b2b,,q_0.148_x,q_0.148_RL_1b,q_0.148_RT_1b,q_0.148_RL_1b2b,q_0.148_RT_1b2b,,q_0.167_x,q_0.167_RL_1b,q_0.167_RT_1b,q_0.167_RL_1b2b,q_0.167_RT_1b2b,,q_0.205_x,q_0.205_RL_1b,q_0.205_RT_1b,q_0.205_RL_1b2b,q_0.205_RT_1b2b,,q_0.24_x,q_0.24_RL_1b,q_0.24_RT_1b,q_0.24_RL_1b2b,q_0.24_RT_1b2b,,q_0.3_x,q_0.3_RL_1b,q_0.3_RT_1b,q_0.3_RL_1b2b,q_0.3_RT_1b2b,,q_0.38_x,q_0.38_RL_1b,q_0.38_RT_1b,q_0.38_RL_1b2b,q_0.38_RT_1b2b,,q_0.475_x,q_0.475_RL_1b,q_0.475_RT_1b,q_0.475_RL_1b2b,q_0.475_RT_1b2b,,q_0.57_x,q_0.57_RL_1b,q_0.57_RT_1b,q_0.57_RL_1b2b,q_0.57_RT_1b2b,,q_0.649_x,q_0.649_RL_1b,q_0.649_RT_1b,q_0.649_RL_1b2b,q_0.649_RT_1b2b
30,0.0803876,0.0135174,0.0805215,0.0173575,,30,0.146657,0.0246304,0.146237,0.0319288,,30,0.148838,0.0282503,0.148291,0.0364595,,30,0.119779,0.0319125,0.119216,0.0407761,,30,0.0857343,0.0323834,0.0852082,0.0411344,,30,0.044883,0.028106,0.0444401,0.0354087,,30,0.0157635,0.0168053,0.0155369,0.0209322,,30,0.00327327,0.00581979,0.00321164,0.00711013,,30,0.000123848,0.000330402,0.000120401,0.000386155,,30,1.12E-09,1.02E-08,3.49E-10,1.13E-08
31,0.0776368,0.0132234,0.0777897,0.0169295,,31,0.146319,0.0248613,0.145907,0.0322405,,31,0.150221,0.0287747,0.149669,0.0371696,,31,0.122619,0.0327893,0.122047,0.041942,,31,0.0877504,0.0332195,0.0872308,0.0422415,,31,0.0454932,0.0287339,0.0450659,0.036251,,31,0.0159527,0.0172907,0.0157339,0.0215668,,31,0.00337843,0.00617193,0.00331643,0.00755425,,31,0.000133379,0.000373062,0.000129912,0.000437918,,31,4.83E-09,4.30E-08,3.88E-09,4.76E-08
32,0.0741377,0.0129892,0.0743004,0.0165965,,32,0.14415,0.0251271,0.143741,0.0325882,,32,0.14979,0.0293185,0.14923,0.0378926,,32,0.124416,0.0336974,0.123824,0.0431387,,32,0.0894797,0.034131,0.088951,0.0434364,,32,0.0463636,0.0295246,0.0459338,0.0372914,,32,0.0162975,0.017839,0.0160786,0.0222751,,32,0.00351062,0.00652628,0.00344713,0.00799994,,32,0.000143575,0.000419898,0.000140062,0.000494918,,32,1.56E-08,1.41E-07,1.41E-08,1.55E-07
33,0.0700705,0.0127295,0.0702388,0.0162367,,33,0.14057,0.0253324,0.140164,0.0328503,,33,0.147934,0.0298031,0.147363,0.0385303,,33,0.125339,0.0345888,0.124721,0.0443072,,33,0.0909146,0.0350725,0.0903663,0.0446634,,33,0.0474174,0.0304286,0.046972,0.0384695,,33,0.0167619,0.0184438,0.0165367,0.0230516,,33,0.00366888,0.00688091,0.00360287,0.00844458,,33,0.000155815,0.000471979,0.000152184,0.000558285,,33,4.99E-08,4.67E-07,4.72E-08,5.03E-07
34,0.0657584,0.0124952,0.0659276,0.0159171,,34,0.136084,0.0255098,0.135681,0.0330664,,34,0.145111,0.0302407,0.144531,0.0390966,,34,0.125595,0.0354301,0.12495,0.0454054,,34,0.0920338,0.0359904,0.0914617,0.0458556,,34,0.0485408,0.0313834,0.0480727,0.0397087,,34,0.017298,0.0190903,0.0170624,0.0238793,,34,0.00384582,0.00723219,0.00377654,0.00888418,,34,0.00017075,0.000529891,0.00016691,0.000628537,,34,1.86E-07,1.15E-06,1.81E-07,1.23E-06
35,0.0613763,0.0122672,0.0615442,0.0156088,,35,0.131129,0.0256659,0.130729,0.0332445,,35,0.14175,0.0306537,0.141161,0.0396191,,35,0.125526,0.0362921,0.12485,0.0465208,,35,0.0930512,0.0369488,0.0924485,0.0470935,,35,0.0497671,0.0324086,0.0492698,0.0410334,,35,0.0178838,0.0197779,0.0176348,0.0247582,,35,0.00403249,0.00757832,0.00395952,0.00931689,,35,0.000188262,0.000592536,0.000184126,0.000704413,,35,4.91E-07,2.57E-06,4.82E-07,2.72E-06
36,0.0570162,0.0119766,0.0571841,0.0152158,,36,0.125874,0.0256936,0.125483,0.0332481,,36,0.137987,0.0309398,0.137397,0.0399682,,36,0.12514,0.0370718,0.124436,0.0475236,,36,0.0939329,0.0378807,0.0932984,0.048293,,36,0.0510904,0.0334929,0.0505592,0.0424298,,36,0.0185329,0.020522,0.0182677,0.0257072,,36,0.00422568,0.00792465,0.00414869,0.00974938,,36,0.000207924,0.000658957,0.000203425,0.000784748,,36,8.88E-07,4.52E-06,8.73E-07,4.76E-06
37,0.0527888,0.0116281,0.052959,0.0147443,,37,0.120514,0.0255861,0.120137,0.0330697,,37,0.133994,0.031081,0.133409,0.0401219,,37,0.124518,0.0377392,0.123793,0.0483759,,37,0.0946873,0.0387408,0.0940234,0.0493965,,37,0.0524113,0.0345625,0.0518469,0.0438049,,37,0.0192128,0.0212978,0.0189303,0.0266958,,37,0.00442304,0.00827474,0.00434178,0.0101861,,37,0.00022921,0.000728213,0.000224307,0.000868447,,37,1.36E-06,6.91E-06,1.33E-06,7.28E-06
38,0.0487363,0.0112282,0.0489113,0.014204,,38,0.115133,0.0253405,0.114778,0.0327069,,38,0.129847,0.0310674,0.129277,0.0400691,,38,0.123709,0.0382771,0.122969,0.0490565,,38,0.0953683,0.039521,0.0946785,0.0503945,,38,0.053721,0.0355957,0.0531254,0.045131,,38,0.0199049,0.0220855,0.0196053,0.0276997,,38,0.00462204,0.00862913,0.00453644,0.010628,,38,0.000251733,0.000800132,0.000246403,0.000955307,,38,1.92E-06,9.76E-06,1.89E-06,1.03E-05
39,0.0449994,0.0107919,0.0451818,0.013614,,39,0.10992,0.0249675,0.109596,0.0321743,,39,0.125713,0.0309046,0.125166,0.0398176,,39,0.122788,0.038681,0.122042,0.0495601,,39,0.0960165,0.0402173,0.0953053,0.0512824,,39,0.0550258,0.0365831,0.054402,0.046396,,39,0.0206113,0.022879,0.0202952,0.0287107,,39,0.00482386,0.00899074,0.00473389,0.0110787,,39,0.000275392,0.000875127,0.000269627,0.00104584,,39,2.61E-06,1.31E-05,2.57E-06,1.38E-05
