q_0.1_x,q_0.1_RL_1b,q_0.1_RT_1b,q_0.1_RL_1b2b,q_0.1_RT_1b2b,,q_0.148_x,q_0.148_RL_1b,q_0.148_RT_1b,q_0.148_RL_1b2b,q_0.148_RT_1b2b,,q_0.167_x,q_0.167_RL_1b,q_0.167_RT_1b,q_0.167_RL_1b2b,q_0.167_RT_1b2b,,q_0.205_x,q_0.205_RL_1b,q_0.205_RT_1b,q_0.205_RL_1b2b,q_0.205_RT_1b2b,,q_0.24_x,q_0.24_RL_1b,q_0.24_RT_1b,q_0.24_RL_1b2b,q_0.24_RT_1b2b,,q_0.3_x,q_0.3_RL_1b,q_0.3_RT_1b,q_0.3_RL_1b2b,q_0.3_RT_1b2b,,q_0.38_x,q_0.38_RL_1b,q_0.38_RT_1b,q_0.38_RL_1b2b,q_0.38_RT_1b2b,,q_0.475_x,q_0.475_RL_1b,q_0.475_RT_1b,q_0.475_RL_1b2b,q_0.475_RT_1b2b,,q_0.57_x,q_0.57_RL_1b,q_0.57_RT_1b,q_0.57_RL_1b2b,q_0.57_RT_1b2b,,q_0.649_x,q_0.649_RL_1b,q_0.649_RT_1b,q_0.649_RL_1b2b,q_0.649_RT_1b2b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,0.0108786,0.00931243,0.0108798,0.00931928,,311,0.00761681,0.0094788,0.00761712,0.00955593,,311,0.00975133,0.0150632,0.00972063,0.0164043,,311,0.0132198,0.026378,0.013099,0.0297779
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,0.0108965,0.00914738,0.0108979,0.00915455,,321,0.00750932,0.00927477,0.00750966,0.00931411,,321,0.00845122,0.0130556,0.00843284,0.0140413,,321,0.0122611,0.0239546,0.0121633,0.0269683
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,0.0108558,0.0089339,0.0108575,0.00894113,,331,0.00748479,0.00913129,0.0074852,0.0091506,,331,0.00740711,0.0114992,0.0073967,0.0121937,,331,0.0111566,0.0214063,0.0110809,0.0240149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,0.0106293,0.00857596,0.0106311,0.00858294,,341,0.00750753,0.00901617,0.00750796,0.00902572,,341,0.00662221,0.010344,0.0066165,0.0108107,,341,0.0099709,0.0188402,0.00991508,0.0210326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,0.00997156,0.00789568,0.00997348,0.00790213,,351,0.00755121,0.0089047,0.00755169,0.00891016,,351,0.00605839,0.00952259,0.00605529,0.00981938,,351,0.00879296,0.0164135,0.00875307,0.0181937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,0.00869124,0.0067656,0.00869323,0.00677134,,361,0.00760021,0.00878568,0.00760069,0.00879003,,361,0.00568158,0.00895798,0.00568001,0.00913525,,361,0.00769493,0.0142449,0.00766759,0.0156343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,0.00681095,0.00522379,0.00681278,0.00522824,,371,0.00764507,0.00865265,0.00764564,0.00865678,,371,0.00545011,0.00857838,0.00544914,0.00867785,,371,0.00673288,0.0124099,0.00671464,0.0134485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,0.00768059,0.00850388,0.0076813,0.00850809,,381,0.00532738,0.00832929,0.00532695,0.00838186,,381,0.00592923,0.0109113,0.00591731,0.0116504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,0.0077056,0.00834087,0.00770655,0.00834496,,391,0.00527982,0.00815946,0.00527963,0.00818553,,391,0.00528398,0.00974166,0.00527616,0.0102432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,0.00771929,0.00816329,0.00772037,0.00816724,,401,0.00527869,0.00803269,0.00527858,0.00804489,,401,0.00479233,0.00886941,0.00478711,0.00919346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,0.00772081,0.00797269,0.00772199,0.00797646,,411,0.00530297,0.00792422,0.00530307,0.0079303,,411,0.00444191,0.00823974,0.0044384,0.00843872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,0.00770277,0.00776257,0.00770406,0.00776599,,421,0.00534035,0.00781907,0.00534054,0.00782266,,421,0.0042104,0.00780019,0.00420816,0.00791583
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,0.0076096,0.00748106,0.00761101,0.00748432,,431,0.00538153,0.00770899,0.00538183,0.00771164,,431,0.0040692,0.00749946,0.0040679,0.00756285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,0.00730135,0.00700638,0.0073029,0.00700946,,441,0.00542103,0.00758911,0.00542146,0.00759142,,441,0.00399691,0.00729504,0.00399607,0.00732836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,0.00662126,0.00620802,0.00662281,0.00621083,,451,0.00545651,0.00745954,0.00545701,0.00746188,,451,0.00397316,0.00715183,0.00397288,0.00716828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,0.005507,0.00505142,0.0055085,0.00505378,,461,0.00548683,0.00732085,0.00548742,0.00732314,,461,0.00398049,0.00704304,0.00398039,0.0070507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,0.00551163,0.00717368,0.00551232,0.00717588,,471,0.00400564,0.0069517,0.00400562,0.00695555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,0.00553065,0.00701933,0.00553137,0.00702139,,481,0.00404091,0.00686524,0.00404098,0.00686741
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,0.00554504,0.00686024,0.00554589,0.00686213,,491,0.0040796,0.00677585,0.0040798,0.00677747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,0.00555562,0.00669707,0.00555661,0.00669883,,501,0.00411823,0.00668117,0.00411852,0.00668268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,0.00556181,0.00652906,0.00556285,0.00653085,,511,0.0041548,0.00657958,0.00415518,0.00658107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,0.00554732,0.00633855,0.00554842,0.00634026,,521,0.00418843,0.00647102,0.00418883,0.00647238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,0.00544346,0.0060556,0.00544461,0.00605714,,531,0.00421862,0.00635534,0.00421904,0.00635656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,0.00512822,0.00556135,0.00512941,0.00556276,,541,0.00424552,0.0062348,0.00424601,0.00623604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,0.00449294,0.0047592,0.004494,0.00476039,,551,0.0042693,0.00611065,0.00426991,0.00611184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,0.00354222,0.00367328,0.00354308,0.00367416,,561,0.0042909,0.00598407,0.00429156,0.00598533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,0.00431046,0.00585265,0.00431114,0.00585373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,0.00432917,0.00572128,0.0043299,0.00572224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,0.00434531,0.00558718,0.00434608,0.00558808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,0.00434319,0.00543163,0.00434399,0.00543243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,0.00426344,0.00518757,0.0042643,0.00518828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,0.00400811,0.00475063,0.00400895,0.00475132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,0.00350145,0.00404938,0.00350217,0.00404994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,0.00275461,0.0031149,0.00275512,0.0031153
