Z,A,E0,ThetaDeg,nu,cross,ratio,ratio_error,dataSet
26,56,0.19,140,0.0292,6840.3,1.16527,0.016019765,Altemus:1973
26,56,0.19,140,0.0406,11828,0.93575,0.013167907,Altemus:1973
26,56,0.19,140,0.0511,14418,0.91462,0.012352615,Altemus:1973
26,56,0.19,140,0.0617,15488,0.98612,0.013109504,Altemus:1973
26,56,0.19,140,0.0723,15170,1.07245,0.014709295,Altemus:1973
26,56,0.19,140,0.0829,13899,1.14483,0.017017052,Altemus:1973
26,56,0.19,140,0.0935,12128,1.16738,0.019920844,Altemus:1973
26,56,0.19,140,0.1041,10228,1.05729,0.022864685,Altemus:1973
26,56,0.19,140,0.1147,8384.3,0.9975,0.028304092,Altemus:1973
26,56,0.19,140,0.1253,6691.9,1.13854,0.041971637,Altemus:1973
26,56,0.1922,180,0.0262,3454.1,1.32596,0.02837208,Hotta:1984
26,56,0.1922,180,0.0362,4887,1.35666,0.026191938,Hotta:1984
26,56,0.1922,180,0.0461,6274.1,1.39622,0.024067197,Hotta:1984
26,56,0.1922,180,0.0561,7229,1.39715,0.020196431,Hotta:1984
26,56,0.1922,180,0.066,7458.8,1.48818,0.023730359,Hotta:1984
26,56,0.1922,180,0.0759,6985.5,1.77511,0.030921194,Hotta:1984
26,56,0.1922,180,0.0859,6011.5,1.9629,0.028445479,Hotta:1984
26,56,0.1922,180,0.0958,4827.9,2.31985,0.029205245,Hotta:1984
26,56,0.1922,180,0.1058,3635.9,2.62108,0.048131137,Hotta:1984
26,56,0.1922,180,0.1157,2593,3.05052,0.066332433,Hotta:1984
26,56,0.1922,180,0.1256,1739.8,3.44867,0.109207955,Hotta:1984
26,56,0.1922,180,0.1356,1072,5.24254,0.191231343,Hotta:1984
26,56,0.1922,180,0.1455,580.62,7.33698,0.375460714,Hotta:1984
26,56,0.2,140,0.025,4428.5,1.17195,0.045162019,Meziani:1984is
26,56,0.2,140,0.035,7645.9,0.9953,0.038713559,Meziani:1984is
26,56,0.2,140,0.045,10960,0.94891,0.038047445,Meziani:1984is
26,56,0.2,140,0.055,13195,0.97006,0.039484653,Meziani:1984is
26,56,0.2,140,0.065,14278,0.96652,0.042232806,Meziani:1984is
