Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,0.2497,90,0.0056,5670,175,Altemus:1973
26,56,0.2497,90,0.0085,8310,260,Altemus:1973
26,56,0.2497,90,0.013,11300,360,Altemus:1973
26,56,0.2497,90,0.0232,16700,524,Altemus:1973
26,56,0.2497,90,0.0334,21900,680,Altemus:1973
26,56,0.2497,90,0.0437,26800,827,Altemus:1973
26,56,0.2497,90,0.0539,32100,985,Altemus:1973
26,56,0.2497,90,0.0642,33900,1040,Altemus:1973
26,56,0.2497,90,0.0744,36300,1110,Altemus:1973
26,56,0.2497,90,0.0847,36200,1120,Altemus:1973
26,56,0.2497,90,0.0949,34400,1140,Altemus:1973
26,56,0.2497,90,0.1052,26600,871,Altemus:1973
26,56,0.2497,90,0.1211,18900,716,Altemus:1973
26,56,0.2497,90,0.1309,15500,572,Altemus:1973
26,56,0.2497,90,0.1416,13100,575,Altemus:1973
26,56,0.2497,90,0.1514,11100,531,Altemus:1973
26,56,0.2497,90,0.1576,10100,587,Altemus:1973
26,56,0.2497,90,0.1638,8880,704,Altemus:1973
26,56,0.2497,90,0.1699,9390,940,Altemus:1973
26,56,0.2497,90,0.1762,10500,1310,Altemus:1973
26,56,0.2497,90,0.1823,10800,1850,Altemus:1973
26,56,0.2497,90,0.1885,14400,2700,Altemus:1973
26,56,0.2498,140,0.0109,498,22.4,Altemus:1973
26,56,0.2498,140,0.0266,2150,64.1,Altemus:1973
26,56,0.2498,140,0.0423,3940,106,Altemus:1973
26,56,0.2498,140,0.0581,5830,150,Altemus:1973
26,56,0.2498,140,0.0739,7770,203,Altemus:1973
26,56,0.2498,140,0.0897,9480,244,Altemus:1973
26,56,0.2498,140,0.1003,9560,249,Altemus:1973
26,56,0.2498,140,0.1109,9470,251,Altemus:1973
26,56,0.2498,140,0.1214,9000,234,Altemus:1973
26,56,0.2498,140,0.1321,8160,231,Altemus:1973
26,56,0.2498,140,0.1427,6620,203,Altemus:1973
26,56,0.2498,140,0.1533,5690,189,Altemus:1973
26,56,0.2498,140,0.1639,4450,170,Altemus:1973
26,56,0.2498,140,0.1746,4350,180,Altemus:1973
26,56,0.2498,140,0.1852,4170,185,Altemus:1973
26,56,0.2498,140,0.0049,23,2.63,Altemus:1973
26,56,0.2503,160,0.0141,407,32.1,Altemus:1973
26,56,0.2503,160,0.0238,1090,54.1,Altemus:1973
26,56,0.2503,160,0.0331,1720,68.5,Altemus:1973
26,56,0.2503,160,0.042,2420,69.8,Altemus:1973
26,56,0.2503,160,0.0507,3230,82.7,Altemus:1973
