W2,Q2,x,FL,FLerr,F1,F1err,F2,F2err,R,Rerr,nu,q2,RL,RLerr,RT,RTerr
3.95,0.5,0.1401,0.089,0.0107,0.8478,0.0247,0.2869,0.0033,0.3747,0.0556,1.901834206,4.116973347,2.787409062,0.335115472,1.807149945,0.052649922
3.95,1.75,0.3631,0.0584,0.0129,0.3111,0.0091,0.2248,0.0051,0.2587,0.0641,2.56834041,8.346372462,0.408777606,0.090295053,0.663133225,0.01939734
3.99,0.5,0.1385,0.0917,0.0105,0.8337,0.0242,0.2843,0.0033,0.3972,0.0565,1.923804854,4.201025116,2.96446018,0.339442005,1.777094726,0.051584134
3.99,1.75,0.3601,0.0643,0.0129,0.3154,0.0092,0.2312,0.0054,0.2832,0.0644,2.589737303,8.4567393,0.459826007,0.092251252,0.672299,0.019610497
4.03,0.5,0.137,0.0967,0.0101,0.8431,0.024,0.2894,0.003,0.4185,0.0554,1.944868411,4.282513135,3.221628002,0.33648855,1.797131538,0.051157819
4.11,0.8,0.1985,0.0861,0.0142,0.6748,0.0235,0.3017,0.0048,0.3215,0.0638,2.147683404,5.412544002,1.563849223,0.257917061,1.438387335,0.050092031
4.11,1.75,0.3514,0.0198,0.0212,0.3723,0.0181,0.2254,0.0078,0.0755,0.0847,2.653854305,8.792942674,0.150869139,0.161536654,0.793585662,0.038581522
4.15,1.75,0.3486,0.0208,0.0209,0.3739,0.018,0.2262,0.008,0.0799,0.084,2.675170404,8.906536691,0.161825721,0.162603729,0.796996183,0.038368364
4.23,0.8,0.1928,0.1376,0.0215,0.5784,0.0364,0.3099,0.0071,0.6171,0.1344,2.211178193,5.689309001,2.704716339,0.422611928,1.23290343,0.077589358
4.23,1.75,0.3432,0.0065,0.0215,0.3939,0.0188,0.2238,0.0081,0.0239,0.0805,2.717262246,9.133514115,0.052675264,0.174233564,0.839627699,0.040073625
4.27,0.8,0.1909,0.1205,0.0212,0.6181,0.036,0.3073,0.0071,0.5108,0.119,2.233185729,5.787118499,2.433292357,0.428097908,1.317526988,0.076736728
4.31,0.8,0.1891,0.109,0.0208,0.6369,0.0355,0.3023,0.0071,0.4526,0.1112,2.254442917,5.882512866,2.258648518,0.431008158,1.357600613,0.07567094
