W2,Q2,x,FL,FLerr,F1,F1err,F2,F2err,R,Rerr,nu,q2,RL,RLerr,RT,RTerr
3.51,1.25,0.3222,0.0921,0.0113,0.3811,0.0123,0.2613,0.0032,0.3752,0.0577,2.067403571,5.524157526,0.67317956,0.082594235,0.812343529,0.026218382
3.51,2.2,0.4555,0.0352,0.0089,0.2016,0.006,0.1644,0.0033,0.1919,0.0541,2.573801708,8.824455231,0.165181076,0.041764533,0.429725677,0.012789455
3.55,1.25,0.3189,0.1021,0.0143,0.3751,0.0149,0.2653,0.004,0.4266,0.0764,2.088797211,5.613073789,0.76613049,0.107303291,0.799554074,0.031760479
3.63,1.25,0.3125,0.0925,0.02,0.4023,0.0211,0.2697,0.0062,0.3679,0.0987,2.131575778,5.793615298,0.731092178,0.158073984,0.857532936,0.044976249
3.63,1.75,0.3889,0.0614,0.011,0.2857,0.0093,0.2175,0.004,0.2764,0.0583,2.397954237,7.500184524,0.360582888,0.06459954,0.6089912,0.019823655
3.63,1.75,0.3889,0.0673,0.0114,0.2788,0.0088,0.2178,0.0036,0.3102,0.0618,2.397954237,7.500184524,0.395231732,0.066948614,0.594283327,0.018757867
3.67,0.8,0.2229,0.113,0.0117,0.5693,0.017,0.301,0.004,0.4455,0.0589,1.912584817,4.457980681,1.505418869,0.155870803,1.21350609,0.036236788
3.67,1.75,0.3855,0.0505,0.0104,0.293,0.0083,0.2127,0.0041,0.2235,0.0519,2.419103509,7.602061789,0.303250222,0.062451531,0.624551703,0.017692079
3.71,0.8,0.2204,0.0947,0.0118,0.601,0.0175,0.2963,0.004,0.3576,0.0546,1.93427929,4.541436373,1.299817624,0.161962492,1.281077043,0.037302576
3.71,1.75,0.3821,0.0536,0.0103,0.2947,0.0084,0.2155,0.0041,0.2381,0.0521,2.440629162,7.706670708,0.329198078,0.063260078,0.628175382,0.017905237
3.71,2.2,0.4374,0.0448,0.009,0.2161,0.0064,0.179,0.0034,0.2371,0.0543,2.680307906,9.384050469,0.23281324,0.046770517,0.460633526,0.013642085
3.75,0.5,0.1484,0.1011,0.0132,0.7893,0.027,0.2903,0.0038,0.4316,0.0707,1.795464773,3.72369375,2.703721729,0.353008178,1.682452762,0.057552546
3.75,1.75,0.3788,0.0617,0.0103,0.2898,0.0083,0.2183,0.0043,0.2811,0.0545,2.461891243,7.810908493,0.387417719,0.064674271,0.61773066,0.017692079
3.75,2.2,0.434,0.0602,0.009,0.2096,0.0064,0.186,0.0035,0.3306,0.0591,2.70130571,9.497052536,0.319090377,0.047704541,0.446778283,0.013642085
3.79,0.5,0.1466,0.1167,0.0129,0.7538,0.0263,0.2933,0.0038,0.5279,0.0762,1.817510043,3.803342755,3.226808053,0.356690865,1.606781821,0.056060443
3.79,1.25,0.3005,0.1198,0.0212,0.3874,0.0227,0.2811,0.0068,0.5145,0.121,2.216696941,6.163745326,1.047581451,0.185381693,0.825772456,0.04838677
3.79,1.75,0.3756,0.0644,0.0107,0.3002,0.0087,0.2258,0.0045,0.2855,0.0551,2.482865822,7.914622692,0.413231325,0.068658,0.639899049,0.018544709
3.83,1.25,0.2976,0.1002,0.0174,0.4229,0.0183,0.2816,0.0059,0.398,0.086,2.238297818,6.259977122,0.898541857,0.156034215,0.901443397,0.039007837
3.83,1.75,0.3724,0.0649,0.011,0.2972,0.0087,0.2238,0.004,0.2934,0.0581,2.504200867,8.021021983,0.425664535,0.072146531,0.633504321,0.018544709
3.83,2.2,0.4272,0.0556,0.0097,0.2162,0.0071,0.186,0.0034,0.3012,0.0618,2.744304021,9.731204562,0.306780855,0.05352112,0.460846683,0.015134188
3.87,1.75,0.3692,0.0567,0.0112,0.3072,0.0088,0.2225,0.004,0.2498,0.0561,2.52590575,8.130199858,0.380211567,0.075103519,0.654820079,0.018757867
3.87,2.2,0.4239,0.0415,0.0097,0.2317,0.0073,0.1848,0.0036,0.2113,0.0558,2.76566803,9.848919652,0.233556188,0.054590242,0.493886108,0.015560503
3.91,0.5,0.1417,0.0676,0.0206,0.8891,0.0531,0.2799,0.0057,0.2682,0.0975,1.88035972,4.035752675,2.051975494,0.625306142,1.895184024,0.113186674
