Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot_shifted,qe_shifted
26,56,0.2988,90,0.11531,20332.2441,390.0784125,Altemus:1973,0.1835,90,0.1153,0.1098,0.9871,0.1097,22103.172,21902.868
26,56,0.2988,90,0.12778,17752.094,362.3949029,Altemus:1973,0.171,90,0.1278,0.1222,1.0179,0.1022,18922.8,18601.7
26,56,0.2988,90,0.13382,16024.4164,401.2640803,Altemus:1973,0.165,90,0.1338,0.1283,1.0329,0.0986,17166.136,16721.9
26,56,0.2988,90,0.13838,15039.6815,323.9253849,Altemus:1973,0.1604,90,0.1384,0.1328,1.0442,0.0959,15785.9,15289.612
26,56,0.2988,90,0.14901,12519.4628,288.2743732,Altemus:1973,0.1498,90,0.149,0.1435,1.0705,0.0895,12933.336,12142.104
26,56,0.2988,90,0.15962,10806.2514,266.5339272,Altemus:1973,0.1392,90,0.1596,0.1541,1.0967,0.0832,10603.788,9481.212
26,56,0.2988,90,0.17024,9197.4033,249.079136,Altemus:1973,0.1286,90,0.1702,0.1647,1.123,0.0768,8922.732,7358.364
26,56,0.2988,90,0.18085,8676.20678,252.0304462,Altemus:1973,0.1179,90,0.1809,0.1753,1.1492,0.0705,7889.492,5704.972
26,56,0.2988,90,0.19146,8136.10087,273.903528,Altemus:1973,0.1073,90,0.1915,0.1859,1.1755,0.0641,7322.016,4410.796
26,56,0.2988,90,0.20415,8576.18334,374.6159125,Altemus:1973,0.0947,90,0.2041,0.1986,1.2069,0.0566,7250.516,3205.8
26,56,0.2988,90,0.213,9132.92538,507.4414159,Altemus:1973,0.0858,90,0.213,0.2075,1.2288,0.0513,7505.264,2531.464
26,56,0.2988,90,0.22184,10034.47963,867.3905744,Altemus:1973,0.077,90,0.2218,0.2163,1.2507,0.046,7982.884,1966.12
26,56,0.2988,90,0.22745,11392.1325,1077.08546,Altemus:1973,0.0713,90,0.2275,0.2219,1.2645,0.0426,8392.332,1655.94
26,56,0.2988,90,0.23414,12264.2377,1669.250998,Altemus:1973,0.0647,90,0.2341,0.2286,1.2811,0.0386,8960.224,1330.16
26,56,0.3208,90,0.02332,3828.57426,127.7395141,Altemus:1973,0.2975,90,0.0233,0.017,0.7333,0.1909,3987.784631,2388.616819
26,56,0.3208,90,0.03415,6233.14062,178.2591423,Altemus:1973,0.2866,90,0.0341,0.0278,0.7605,0.1839,7301.836954,7019.788679
26,56,0.3208,90,0.04428,8221.2298,219.2440914,Altemus:1973,0.2765,90,0.0443,0.0379,0.786,0.1774,11652.33173,10865.62511
26,56,0.3208,90,0.05501,10902.5273,271.7601727,Altemus:1973,0.2658,90,0.055,0.0486,0.8131,0.1705,15456.31699,14921.31356
26,56,0.3208,90,0.06528,12996.5941,318.2705181,Altemus:1973,0.2555,90,0.0653,0.0589,0.8389,0.1639,18464.11651,18369.20617
26,56,0.3208,90,0.07599,14640.4153,354.5539205,Altemus:1973,0.2448,90,0.076,0.0696,0.8659,0.1571,21130.66803,21103.24419
26,56,0.3208,90,0.0865,16393.6122,425.0235207,Altemus:1973,0.2343,90,0.0865,0.0801,0.8923,0.1503,22588.12611,22545.91724
26,56,0.3208,90,0.09706,17386.4887,435.416321,Altemus:1973,0.2237,90,0.0971,0.0907,0.9189,0.1436,22561.65614,22493.81193
26,56,0.3208,90,0.1075,17713.5539,458.6901666,Altemus:1973,0.2133,90,0.1075,0.1011,0.9452,0.1369,21131.44305,21004.22026
26,56,0.3208,90,0.11817,17842.0438,480.1053391,Altemus:1973,0.2026,90,0.1182,0.1118,0.9721,0.13,19611.8,19450.652
26,56,0.3208,90,0.12874,16787.5771,468.5084453,Altemus:1973,0.1921,90,0.1287,0.1224,0.9987,0.1232,18173.896,17907.968
26,56,0.3208,90,0.13935,15690.6344,467.8177378,Altemus:1973,0.1814,90,0.1394,0.133,1.0254,0.1164,15911.428,15537.704
26,56,0.3208,90,0.14992,13448.9635,435.3817457,Altemus:1973,0.1709,90,0.1499,0.1436,1.0521,0.1096,13458.952,12891.84
26,56,0.3208,90,0.16053,11467.4581,394.760277,Altemus:1973,0.1603,90,0.1605,0.1542,1.0788,0.1028,11214.008,10383.932
26,56,0.3208,90,0.17112,9942.35732,370.099712,Altemus:1973,0.1497,90,0.1711,0.1648,1.1054,0.096,9435.14,8256.144
26,56,0.3208,90,0.18174,8952.56033,349.9380243,Altemus:1973,0.1391,90,0.1817,0.1754,1.1322,0.0892,8181.836,6546.696
26,56,0.3208,90,0.19233,8341.11831,356.6445618,Altemus:1973,0.1285,90,0.1923,0.186,1.1588,0.0824,7468.136,5210.556
