Z,A,E0,ThetaDeg,nu,cross,error,ratio,ratio_error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,ExA,nuA,Q2effA,qv2A,epsilonA
26,56,0.1009,160.0,0.0206,22652.0,453.04,0.74466,0.020678527,Altemus:1973,0.0089,0.10980000000000001,0.08030000000000001,0.08920000000000002,1.0,0.0,0.0,22652.0,453.04,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.02022284422746657,4.433234524286382,1.1841926133578762,0.03143182666123009,0.03799531975759304,0.038419679757593035,0.196009386911936,0.881017750371407,0.015141117022785354,3.0796983651655007e-06,7355265780.641702,147105315.61283404,4.194219605911473e-05,3.854250985760179e-05,437.09553620405853,369.1084805575995,9901088.086094335,198021.7617218867,25.427890812841856,0.5085578162568372,8361045.3015907435,167220.90603181487,21.472765938590822,0.4294553187718165,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04037715577253343,0.029571111714172243,0.03120142642245167,0.014519405230760778
26,56,0.1009,160.0,0.0262,23040.0,460.8,0.91688,0.023988281,Altemus:1973,0.0089,0.10980000000000001,0.0747,0.08360000000000001,1.0,0.0,0.0,23040.0,460.8,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.02582284422746657,4.433234524286382,1.1841926133578762,0.029239818824332343,0.03560996336025535,0.03629640336025535,0.19051614986728907,0.8939117643687446,0.015022485619602337,6.309931242575245e-05,365138685.5777652,7302773.711555305,4.1942196059114736e-05,3.8542509857601794e-05,440.6533845662051,372.11293128800725,10152653.980405366,203053.0796081073,26.07396021826002,0.5214792043652003,8573481.936875686,171469.63873751374,22.018343911405715,0.4403668782281144,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.04037715577253344,0.029571111714172236,0.031201426422451665,0.014519405230760778
26,56,0.1009,160.0,0.0314,22009.0,440.18,1.07788,0.028040347,Altemus:1973,0.0089,0.10980000000000001,0.0695,0.07840000000000001,1.0,0.0,0.0,22009.0,440.18,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.031022844227466567,4.433234524286382,1.1841926133578762,0.027204382975784445,0.03339498956272751,0.03438094956272751,0.1854210062606918,0.9058847773662726,0.014875180766370505,0.0001188143867546569,185238510.26094165,3704770.205218833,4.194219605911472e-05,3.8542509857601774e-05,445.15017058516923,375.9102747000837,9797310.10440899,195946.2020881798,25.161369076632056,0.503227381532641,8273409.235874142,165468.18471748283,21.247699734661328,0.4249539946932266,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04,0.040377155772533424,0.029571111714172243,0.03120142642245167,0.014519405230760778
26,56,0.1009,160.0,0.0366,20005.0,400.1,1.26428,0.03403949,Altemus:1973,0.0089,0.10980000000000001,0.0643,0.0732,1.0,0.0,0.0,20005.0,400.1,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.03622284422746657,4.433234524286382,1.1841926133578762,0.02516894712723654,0.031180015765199656,0.032519575765199656,0.18033184900399502,0.9178577903638003,0.014686337700251266,0.00017450544452466272,114638257.01537186,2292765.140307437,4.194219605911472e-05,3.8542509857601774e-05,451.04697425203943,380.8898731204364,9023194.719912048,180463.89439824098,23.173292483194324,0.46346584966388654,7619701.91177433,152394.0382354866,19.568854105148095,0.3913770821029619,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04,0.04037715577253343,0.029571111714172243,0.03120142642245167,0.014519405230760778
26,56,0.1009,160.0,0.0416,20005.0,400.1,1.30912,0.037207198,Altemus:1973,0.0089,0.10980000000000001,0.059300000000000005,0.06820000000000001,1.0,0.0,0.0,20005.0,400.1,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.04122284422746657,4.433234524286382,1.1841926133578762,0.02321179727286356,0.029050233267576737,0.030780793267576736,0.1754445589568874,0.9293703028614233,0.014459452840166429,0.00022802392810318414,87732020.78576353,1754640.4157152707,4.194219605911473e-05,3.854250985760179e-05,458.33540760372716,387.04464327308983,9168999.829112561,183379.99658225125,23.547747933389964,0.4709549586677993,7742828.088678163,154856.56177356324,19.885065712931933,0.39770131425863864,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04122284422746657,0.0416,0.029050233267576737,0.030780793267576736,0.014459452840166429
26,56,0.1009,160.0,0.0416,17529.0,350.58,1.49404,0.042462776,Altemus:1973,0.0089,0.10980000000000001,0.059300000000000005,0.06820000000000001,1.0,0.0,0.0,17529.0,350.58,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.04122284422746657,4.433234524286382,1.1841926133578762,0.02321179727286356,0.029050233267576737,0.030780793267576736,0.1754445589568874,0.9293703028614233,0.014459452840166429,0.00022802392810318414,76873511.23987247,1537470.2247974495,4.194219605911473e-05,3.854250985760179e-05,458.33540760372716,387.04464327308983,8034161.359885734,160683.22719771467,20.633265359879665,0.4126653071975933,6784505.551933992,135690.11103867984,17.423909866632535,0.3484781973326507,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.04122284422746657,0.0416,0.029050233267576737,0.030780793267576736,0.014459452840166429
26,56,0.12,140.0,0.01,15201.0,304.02,0.98678,0.049996711,Meziani:1984is,0.0089,0.1289,0.11,0.1189,1.0,0.0,0.0,15201.0,304.02,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00048555138576371337,0.009514448614236287,4.433234524286382,1.1538340277777774,0.04662357329834101,0.05413353600914901,0.054233536009149014,0.2328809481455042,0.844988146519851,0.06201491441114325,-0.0001360004018697427,-111771728.54650153,-2235434.5709300307,0.00013877028677615496,0.00012918878520666095,517.5425431224885,448.5415845459574,7867164.198004948,157343.28396009895,20.20438465894711,0.4040876931789422,6818280.626683098,136365.61253366194,17.510650728389137,0.3502130145677827,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.04,0.040485551385763714,0.04025388341284957,0.041892963283858886,0.059837231622807435
26,56,0.12,140.0,0.02,23682.0,473.64,0.86986,0.046026518,Meziani:1984is,0.0089,0.1289,0.09999999999999999,0.1089,1.0,0.0,0.0,23682.0,473.64,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00048555138576371337,0.019514448614236287,4.433234524286382,1.1538340277777774,0.04238506663485546,0.04958067343478828,0.04998067343478828,0.2235635780595495,0.8683064690942117,0.06165583933913662,-4.6317029018536174e-05,-511302225.16047853,-10226044.50320957,0.000138770286776155,0.00012918878520666097,520.9552696511465,451.4993119543185,12337262.695878452,246745.25391756903,31.684453873381617,0.6336890774676324,10692406.70570217,213848.1341140434,27.460148609418447,0.5492029721883689,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.04,0.04048555138576371,0.04025388341284957,0.041892963283858886,0.059837231622807435
26,56,0.12,140.0,0.03,26546.0,530.92,0.91163,0.052738642,Meziani:1984is,0.0089,0.1289,0.09,0.0989,1.0,0.0,0.0,26546.0,530.92,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00048555138576371337,0.029514448614236286,4.433234524286382,1.1538340277777774,0.03814655997136991,0.045027810860427564,0.04592781086042756,0.21430774801772232,0.8916247916685724,0.06097924198115845,4.328309124523915e-05,613311092.99916,12266221.8599832,0.00013877028677615504,0.00012918878520666103,527.4954314792856,457.1675117739538,14002893.724049116,280057.87448098225,35.962113414486886,0.7192422682897376,12135968.767551377,242719.37535102753,31.167492506481192,0.6233498501296237,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.04,0.04048555138576372,0.040253883412849564,0.04189296328385888,0.059837231622807435
26,56,0.12,140.0,0.04,24705.0,494.1,1.08075,0.070431087,Meziani:1984is,0.0089,0.1289,0.07999999999999999,0.08889999999999999,1.0,0.0,0.0,24705.0,494.1,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00048555138576371337,0.03951444861423629,4.433234524286382,1.1538340277777774,0.033908053307884364,0.040474948286066834,0.04207494828606683,0.20512178891104385,0.9149431142429333,0.059901514835088716,0.000132697539660248,186175267.9307651,3723505.358615302,0.00013877028677615502,0.000129188785206661,538.2192649335135,466.46159844158433,13296706.940182451,265934.13880364905,34.1484904795639,0.682969809591278,11523933.78949934,230478.67578998682,29.59566944418519,0.5919133888837038,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.04,0.040485551385763714,0.04025388341284957,0.041892963283858886,0.059837231622807435
