Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,nu-nuel,w2,q2,scaled_sigtot_Fe56,sigqe,sigie,sigmec,nuccstot,signonuc,,ratio
26,56,0.2988,90,0.03271,8461.4,119.37,Altemus:1973,0.2661,90,0.0327,0.0272,0.7827,0.159,6577.168,4646.096,0,1487.512,443.612,6133.608,,1.286480747
26,56,0.2988,90,0.04324,10969,127.88,Altemus:1973,0.2556,90,0.0432,0.0377,0.8088,0.1527,12126.712,8145.176,1.976,2817.724,1161.784,10964.876,,0.904532078
26,56,0.2988,90,0.05377,13630,146.52,Altemus:1973,0.245,90,0.0538,0.0482,0.8348,0.1464,16553.784,11560.38,8.216,4213.144,772.096,15781.74,,0.823376697
26,56,0.2988,90,0.06431,16396,171.15,Altemus:1973,0.2345,90,0.0643,0.0588,0.8609,0.1401,20092.02,14580.956,16.848,5382.78,111.436,19980.636,,0.816045375
26,56,0.2988,90,0.07486,18434,185.94,Altemus:1973,0.2239,90,0.0749,0.0693,0.887,0.1338,23048.844,16933.852,29.744,6081.868,3.432,23045.464,,0.799779807
26,56,0.2988,90,0.08544,19439,199.38,Altemus:1973,0.2134,90,0.0854,0.0799,0.9132,0.1275,24502.764,18256.836,62.244,6183.684,0,24502.712,,0.79333907
26,56,0.2988,90,0.0945,20646,207.78,Altemus:1973,0.2043,90,0.0945,0.089,0.9356,0.1221,24203.972,18309.824,78.676,5815.524,0,24203.972,,0.853000491
26,56,0.2988,90,0.10661,20595,219.73,Altemus:1973,0.1922,90,0.1066,0.1011,0.9656,0.1149,21829.184,16825.276,138.788,4865.12,0,21829.184,,0.943461744
26,56,0.2988,90,0.11531,19677,209.25,Altemus:1973,0.1835,90,0.1153,0.1098,0.9871,0.1097,19226.376,14975.168,205.14,4046.068,0,19226.376,,1.023437802
26,56,0.2988,90,0.12778,17180,218.5,Altemus:1973,0.171,90,0.1278,0.1222,1.0179,0.1022,15226.224,11898.432,368.836,2958.956,0,15226.224,,1.128316515
26,56,0.2988,90,0.13382,15508,299.13,Altemus:1973,0.165,90,0.1338,0.1283,1.0329,0.0986,13421.2,10429.068,457.444,2534.688,0,13421.2,,1.155485352
26,56,0.2988,90,0.13838,14555,210.37,Altemus:1973,0.1604,90,0.1384,0.1328,1.0442,0.0959,12203.672,9375.184,559.208,2269.332,0,12203.672,,1.192673812
26,56,0.2988,90,0.14901,12116,201,Altemus:1973,0.1498,90,0.149,0.1435,1.0705,0.0895,9813.596,7167.992,817.388,1828.216,0,9813.596,,1.234613693
26,56,0.2988,90,0.15962,10458,196.59,Altemus:1973,0.1392,90,0.1596,0.1541,1.0967,0.0832,8091.564,5344.456,1161.992,1585.116,0,8091.564,,1.292457181
26,56,0.2988,90,0.17024,8901,194.69,Altemus:1973,0.1286,90,0.1702,0.1647,1.123,0.0768,6950.736,3878.732,1615.952,1456,0,6950.736,,1.280583812
26,56,0.2988,90,0.18085,8396.6,203.75,Altemus:1973,0.1179,90,0.1809,0.1753,1.1492,0.0705,6342.752,2727.868,2246.712,1368.172,0,6342.752,,1.323810233
26,56,0.2988,90,0.19146,7873.9,233.36,Altemus:1973,0.1073,90,0.1915,0.1859,1.1755,0.0641,6098.716,1841.684,2981.524,1275.456,0,6098.716,,1.291075039
26,56,0.2988,90,0.20415,8299.8,337.45,Altemus:1973,0.0947,90,0.2041,0.1986,1.2069,0.0566,6318.832,1069.172,4119.492,1130.22,0,6318.832,,1.313502242
